input_key,domains,mode_supported,source_type,instrument_family,instrument_subgroup,direct_question_needed,derivable_from_answers,derivation_rule_summary,system_filled,presence_flag,can_be_asked_to_caregiver,can_be_asked_to_psychologist,requires_child_response,can_be_administered_by_caregiver,can_be_administered_by_psychologist,future_optional_full_caregiver_candidate,allowed_if_unknown,unknown_handling_rule,model_criticality,output_criticality,current_mapping_status,exact_legacy_equivalence_status,notes
age_years,adhd|anxiety|conduct|depression|elimination,both,general,Demographics,demographics,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,no,required demographic,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_026,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_027,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_028,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_029,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_030,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_031,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_032,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_033,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_034,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_035,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_036,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_037,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_038,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_039,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_040,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_041,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_042,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_043,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_044,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_045,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_046,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_047,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_048,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_049,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_050,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_051,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_052,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_053,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_054,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_055,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_056,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_057,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_058,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_059,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_060,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_061,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_062,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_063,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_064,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_065,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_066,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_067,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_068,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_069,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_070,anxiety,both,general,CBCL,cbcl,yes,no,n/a,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_071,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_072,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_073,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_074,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_075,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_076,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_077,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_078,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_079,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_080,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_081,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_082,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_083,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_084,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_085,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_086,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_087,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_088,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_089,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_090,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_091,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_092,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_093,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_094,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_095,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_096,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_097,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_098,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_099,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_100,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_101,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_102,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_103,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_104,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_105,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_106,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_107,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_108,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_109,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_110,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_111,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_112,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_113,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_114,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_115,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_116,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_117,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_118,anxiety,psychologist,general,CBCL,cbcl,yes,no,n/a,no,no,no,yes,no,no,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
cbcl_aggressive_behavior_proxy,adhd|anxiety|conduct|depression|elimination,both,score_derivado,CBCL,cbcl,no,yes,sum/aggregate from items,no,no,yes,yes,no,yes,yes,no,yes,impute + evidence downgrade,high,high,mapped_final_scope,por_confirmar,final scope v15/v4; elimination KEEP_V12
