feature,feature_label_human,feature_description,layer,domain,domains_final,module,criterion_ref,source_label,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,respondability_group,respondent_expected,administered_by,caregiver_answerable_yes_no,psychologist_answerable_yes_no,must_be_self_report_yes_no,is_direct_input,is_transparent_derived,show_in_questionnaire_yes_no,derivable_if_not_shown_yes_no,requires_exact_item_wording,requires_clinician_administration,requires_child_self_report,requires_internal_scoring,questionnaire_section_suggested,questionnaire_subsection_suggested,question_text_needed_yes_no,input_needed_for_adhd,input_needed_for_conduct,input_needed_for_elimination,input_needed_for_anxiety,input_needed_for_depression,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,derived_from_features,internal_scoring_formula_summary,selection_rationale,notes
adhd_hypimp_05_driven_by_motor,Adhd hypimp 05 driven by motor,Input for core_hyperimpulsive - Adhd hypimp 05 driven by motor,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.e,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,5.0,5.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_hypimp_06_talks_excessively,Adhd hypimp 06 talks excessively,Input for core_hyperimpulsive - Adhd hypimp 06 talks excessively,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.f,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,6.0,6.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_hypimp_07_blurts_out,Adhd hypimp 07 blurts out,Input for core_hyperimpulsive - Adhd hypimp 07 blurts out,dsm5,adhd,adhd|conduct|anxiety|depression,core_hyperimpulsive,A2.g,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,7.0,7.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_hypimp_08_difficulty_waiting_turn,Adhd hypimp 08 difficulty waiting turn,Input for core_hyperimpulsive - Adhd hypimp 08 difficulty waiting turn,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.h,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,8.0,8.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_hypimp_09_interrupts_intrudes,Adhd hypimp 09 interrupts intrudes,Input for core_hyperimpulsive - Adhd hypimp 09 interrupts intrudes,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.i,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,9.0,9.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_impairment_home,Adhd impairment home,Input for impairment - Adhd impairment home,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,impairment,D,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,67.0,67.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
adhd_impairment_max,Adhd impairment max,Input for derived - Adhd impairment max,dsm5,ADHD,ADHD,derived,D,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,yes,no,no,yes,no,yes,no,no,no,yes,por_confirmar,por_confirmar,no,no,no,no,no,no,no,no,no,no,no,no,,,por_confirmar,por_confirmar,transparent from related direct items,internal transparent aggregation,derived from available contracts and priority matrix,
adhd_impairment_school,Adhd impairment school,Input for impairment - Adhd impairment school,dsm5,adhd,adhd|conduct|depression,impairment,D,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,68.0,68.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
adhd_impairment_social,Adhd impairment social,Input for impairment - Adhd impairment social,dsm5,adhd,adhd|conduct|depression,impairment,D,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,69.0,69.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
adhd_inatt_01_attention_to_detail_errors,Adhd inatt 01 attention to detail errors,Input for core_inattention - Adhd inatt 01 attention to detail errors,dsm5,adhd,adhd|conduct|anxiety|depression,core_inattention,A1.a,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,10.0,10.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_02_sustained_attention_difficulty,Adhd inatt 02 sustained attention difficulty,Input for core_inattention - Adhd inatt 02 sustained attention difficulty,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_inattention,A1.b,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,11.0,11.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_03_seems_not_listening,Adhd inatt 03 seems not listening,Input for core_inattention - Adhd inatt 03 seems not listening,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_inattention,A1.c,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,12.0,12.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_04_fails_to_finish_tasks,Adhd inatt 04 fails to finish tasks,Input for core_inattention - Adhd inatt 04 fails to finish tasks,dsm5,adhd,adhd|conduct|anxiety|depression,core_inattention,A1.d,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,13.0,13.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_05_organization_difficulty,Adhd inatt 05 organization difficulty,Input for core_inattention - Adhd inatt 05 organization difficulty,dsm5,adhd,adhd|conduct|anxiety|depression,core_inattention,A1.e,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,14.0,14.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_06_avoids_sustained_effort,Adhd inatt 06 avoids sustained effort,Input for core_inattention - Adhd inatt 06 avoids sustained effort,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_inattention,A1.f,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,15.0,15.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_07_loses_things,Adhd inatt 07 loses things,Input for core_inattention - Adhd inatt 07 loses things,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_inattention,A1.g,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,16.0,16.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_08_easily_distracted,Adhd inatt 08 easily distracted,Input for core_inattention - Adhd inatt 08 easily distracted,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_inattention,A1.h,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,17.0,17.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inatt_09_forgetful_daily_activities,Adhd inatt 09 forgetful daily activities,Input for core_inattention - Adhd inatt 09 forgetful daily activities,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_inattention,A1.i,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,18.0,18.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,
adhd_inattention_symptom_count,Adhd inattention symptom count,Input for derived - Adhd inattention symptom count,dsm5,ADHD,ADHD,derived,A1,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,yes,no,no,yes,no,yes,no,no,no,yes,por_confirmar,por_confirmar,no,no,no,no,no,no,no,no,no,no,no,no,,,por_confirmar,por_confirmar,transparent from related direct items,internal transparent aggregation,derived from available contracts and priority matrix,
adhd_inattention_threshold_child,Adhd inattention threshold child,Input for derived - Adhd inattention threshold child,dsm5,ADHD,ADHD,derived,A1,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,yes,no,no,yes,no,yes,no,no,no,yes,por_confirmar,por_confirmar,no,no,no,no,no,no,no,no,no,no,no,no,,,por_confirmar,por_confirmar,transparent from related direct items,internal transparent aggregation,derived from available contracts and priority matrix,
adhd_not_better_explained_other_mental,Adhd not better explained other mental,Input for exclusion - Adhd not better explained other mental,dsm5,adhd,adhd|depression,exclusion,E,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,,123.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,
adhd_not_psychosis_exclusive,Adhd not psychosis exclusive,Input for exclusion - Adhd not psychosis exclusive,dsm5,adhd,adhd|depression,exclusion,E,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,no,no,no,no,no,yes,,124.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,
adhd_onset_before_12,Adhd onset before 12,Input for history - Adhd onset before 12,dsm5,adhd,adhd|depression,history,B,dsm5,dsm5,history_flag,history_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,85.0,85.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
adhd_two_plus_contexts,Adhd two plus contexts,Input for derived - Adhd two plus contexts,dsm5,ADHD,ADHD,derived,C,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,yes,no,no,yes,no,yes,no,no,no,yes,por_confirmar,por_confirmar,no,no,no,no,no,no,no,no,no,no,no,no,,,por_confirmar,por_confirmar,transparent from related direct items,internal transparent aggregation,derived from available contracts and priority matrix,
age_years,Edad en años cumplidos,Input for clean_base - Age years,clean_base,adhd,adhd|conduct|elimination|anxiety|depression,clean_base,na,DEMOGRAPHIC,master_inference_ready_strict,basic_demographic,unspecified,model_input,safe_use,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,no,no,no,no,Datos básicos,age_years,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,64.0,64.0,media,media,,,feature retenida del clean-base auditado; respondible por ambos roles,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
agor_almost_always_triggered,Agor almost always triggered,Input for agoraphobia - Agor almost always triggered,dsm5,adhd,adhd|anxiety|depression,agoraphobia,Agor_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,123.0,125.0,baja,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,
agor_avoid_or_need_companion,Agor avoid or need companion,Input for agoraphobia - Agor avoid or need companion,dsm5,adhd,adhd|elimination|anxiety|depression,agoraphobia,Agor_D,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,65.0,65.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
agor_disproportionate,Agor disproportionate,Input for agoraphobia - Agor disproportionate,dsm5,adhd,adhd|depression,agoraphobia,Agor_E,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,no,no,no,no,no,yes,,171.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo,
agor_duration_months,Agor duration months,Input for agoraphobia - Agor duration months,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,agoraphobia,Agor_F,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,86.0,86.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
agor_escape_help_cognition,Agor escape help cognition,Input for agoraphobia - Agor escape help cognition,dsm5,adhd,adhd|elimination|anxiety|depression,agoraphobia,Agor_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,63.0,63.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_cognition; respondible por ambos roles,
agor_fear_01_public_transport,Agor fear 01 public transport,Input for agoraphobia - Agor fear 01 public transport,dsm5,adhd,adhd|anxiety|depression,agoraphobia,Agor_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,96.0,96.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles,
agor_fear_02_open_spaces,Agor fear 02 open spaces,Input for agoraphobia - Agor fear 02 open spaces,dsm5,adhd,adhd|anxiety|depression,agoraphobia,Agor_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,97.0,97.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles,
agor_fear_03_enclosed_spaces,Agor fear 03 enclosed spaces,Input for agoraphobia - Agor fear 03 enclosed spaces,dsm5,adhd,adhd|elimination|anxiety|depression,agoraphobia,Agor_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,98.0,98.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles,
agor_fear_04_crowds_queues,Agor fear 04 crowds queues,Input for agoraphobia - Agor fear 04 crowds queues,dsm5,adhd,adhd|elimination|anxiety|depression,agoraphobia,Agor_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,99.0,99.0,baja,media,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles,
agor_fear_05_outside_home_alone,Agor fear 05 outside home alone,Input for agoraphobia - Agor fear 05 outside home alone,dsm5,adhd,adhd|elimination|anxiety|depression,agoraphobia,Agor_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,100.0,100.0,baja,media,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles,
agor_impairment,Agor impairment,Input for agoraphobia - Agor impairment,dsm5,adhd,adhd|elimination|anxiety|depression,agoraphobia,Agor_G,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,yes,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,70.0,70.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,
agor_not_better_explained,Agor not better explained,Input for agoraphobia - Agor not better explained,dsm5,adhd,adhd|depression,agoraphobia,Agor_I,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,no,no,no,no,no,yes,,126.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,
agor_not_excessive_due_medical,Agor not excessive due medical,Input for agoraphobia - Agor not excessive due medical,dsm5,adhd,adhd|depression,agoraphobia,Agor_H,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,yes,no,yes,no,yes,no,yes,no,no,no,por_confirmar,por_confirmar,yes,yes,no,no,no,yes,no,no,no,no,no,yes,,172.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo,
