domain,role,mode,feature_set_id,feature_order,feature
elimination,caregiver,caregiver_2_3,ranked_direct,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_2_3,ranked_direct,2,enuresis_distress_impairment
elimination,caregiver,caregiver_2_3,ranked_direct,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,ranked_direct,4,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_2_3,ranked_direct,5,enuresis_nocturnal
elimination,caregiver,caregiver_2_3,ranked_direct,6,enuresis_primary_course
elimination,caregiver,caregiver_2_3,ranked_direct,7,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,no_top1_direct,1,enuresis_distress_impairment
elimination,caregiver,caregiver_2_3,no_top1_direct,2,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,no_top1_direct,3,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_2_3,no_top1_direct,4,enuresis_nocturnal
elimination,caregiver,caregiver_2_3,no_top1_direct,5,enuresis_primary_course
elimination,caregiver,caregiver_2_3,no_top1_direct,6,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,no_top1_direct,7,encopresis_constipation_present
elimination,caregiver,caregiver_2_3,no_top2_direct,1,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,no_top2_direct,2,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_2_3,no_top2_direct,3,enuresis_nocturnal
elimination,caregiver,caregiver_2_3,no_top2_direct,4,enuresis_primary_course
elimination,caregiver,caregiver_2_3,no_top2_direct,5,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,no_top2_direct,6,encopresis_constipation_present
elimination,caregiver,caregiver_2_3,no_top2_direct,7,enuresis_diurnal
elimination,caregiver,caregiver_2_3,balanced_direct,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_2_3,balanced_direct,2,enuresis_distress_impairment
elimination,caregiver,caregiver_2_3,balanced_direct,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,balanced_direct,4,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_2_3,balanced_direct,5,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,balanced_direct,6,encopresis_constipation_present
elimination,caregiver,caregiver_2_3,balanced_direct,7,enuresis_nocturnal
elimination,caregiver,caregiver_2_3,enuresis_core,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_2_3,enuresis_core,2,enuresis_distress_impairment
elimination,caregiver,caregiver_2_3,enuresis_core,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,enuresis_core,4,enuresis_nocturnal
elimination,caregiver,caregiver_2_3,enuresis_core,5,enuresis_primary_course
elimination,caregiver,caregiver_2_3,enuresis_core,6,enuresis_diurnal
elimination,caregiver,caregiver_2_3,enuresis_core,7,enuresis_secondary_course
elimination,caregiver,caregiver_2_3,encopresis_augmented,1,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_2_3,encopresis_augmented,2,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_2_3,encopresis_augmented,3,encopresis_constipation_present
elimination,caregiver,caregiver_2_3,encopresis_augmented,4,encopresis_visible_deposition_pattern
elimination,caregiver,caregiver_2_3,encopresis_augmented,5,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_2_3,encopresis_augmented,6,enuresis_distress_impairment
elimination,caregiver,caregiver_2_3,encopresis_augmented,7,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_full,ranked_direct,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_full,ranked_direct,2,enuresis_distress_impairment
elimination,caregiver,caregiver_full,ranked_direct,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_full,ranked_direct,4,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_full,ranked_direct,5,enuresis_nocturnal
elimination,caregiver,caregiver_full,ranked_direct,6,enuresis_primary_course
elimination,caregiver,caregiver_full,ranked_direct,7,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_full,ranked_direct,8,encopresis_constipation_present
elimination,caregiver,caregiver_full,ranked_direct,9,enuresis_diurnal
elimination,caregiver,caregiver_full,ranked_direct,10,encopresis_visible_deposition_pattern
elimination,caregiver,caregiver_full,ranked_direct,11,enuresis_secondary_course
elimination,caregiver,caregiver_full,no_top1_direct,1,enuresis_distress_impairment
elimination,caregiver,caregiver_full,no_top1_direct,2,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_full,no_top1_direct,3,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_full,no_top1_direct,4,enuresis_nocturnal
elimination,caregiver,caregiver_full,no_top1_direct,5,enuresis_primary_course
elimination,caregiver,caregiver_full,no_top1_direct,6,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_full,no_top1_direct,7,encopresis_constipation_present
elimination,caregiver,caregiver_full,no_top1_direct,8,enuresis_diurnal
elimination,caregiver,caregiver_full,no_top1_direct,9,encopresis_visible_deposition_pattern
elimination,caregiver,caregiver_full,no_top1_direct,10,enuresis_secondary_course
elimination,caregiver,caregiver_full,no_top2_direct,1,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_full,no_top2_direct,2,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_full,no_top2_direct,3,enuresis_nocturnal
elimination,caregiver,caregiver_full,no_top2_direct,4,enuresis_primary_course
elimination,caregiver,caregiver_full,no_top2_direct,5,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_full,no_top2_direct,6,encopresis_constipation_present
elimination,caregiver,caregiver_full,no_top2_direct,7,enuresis_diurnal
elimination,caregiver,caregiver_full,no_top2_direct,8,encopresis_visible_deposition_pattern
elimination,caregiver,caregiver_full,no_top2_direct,9,enuresis_secondary_course
elimination,caregiver,caregiver_full,balanced_direct,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_full,balanced_direct,2,enuresis_distress_impairment
elimination,caregiver,caregiver_full,balanced_direct,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_full,balanced_direct,4,enuresis_nocturnal
elimination,caregiver,caregiver_full,balanced_direct,5,enuresis_primary_course
elimination,caregiver,caregiver_full,balanced_direct,6,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_full,balanced_direct,7,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_full,balanced_direct,8,encopresis_constipation_present
elimination,caregiver,caregiver_full,balanced_direct,9,encopresis_visible_deposition_pattern
elimination,caregiver,caregiver_full,balanced_direct,10,enuresis_diurnal
elimination,caregiver,caregiver_full,balanced_direct,11,enuresis_secondary_course
elimination,caregiver,caregiver_full,enuresis_core,1,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_full,enuresis_core,2,enuresis_distress_impairment
elimination,caregiver,caregiver_full,enuresis_core,3,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_full,enuresis_core,4,enuresis_nocturnal
elimination,caregiver,caregiver_full,enuresis_core,5,enuresis_primary_course
elimination,caregiver,caregiver_full,enuresis_core,6,enuresis_diurnal
elimination,caregiver,caregiver_full,enuresis_core,7,enuresis_secondary_course
elimination,caregiver,caregiver_full,encopresis_augmented,1,encopresis_event_frequency_per_month
elimination,caregiver,caregiver_full,encopresis_augmented,2,encopresis_duration_months_consecutive
elimination,caregiver,caregiver_full,encopresis_augmented,3,encopresis_constipation_present
elimination,caregiver,caregiver_full,encopresis_augmented,4,encopresis_visible_deposition_pattern
elimination,caregiver,caregiver_full,encopresis_augmented,5,enuresis_event_frequency_per_week
elimination,caregiver,caregiver_full,encopresis_augmented,6,enuresis_distress_impairment
elimination,caregiver,caregiver_full,encopresis_augmented,7,enuresis_duration_months_consecutive
elimination,caregiver,caregiver_full,encopresis_augmented,8,enuresis_nocturnal
elimination,caregiver,caregiver_full,encopresis_augmented,9,enuresis_primary_course
elimination,caregiver,caregiver_full,encopresis_augmented,10,enuresis_diurnal
elimination,caregiver,caregiver_full,encopresis_augmented,11,enuresis_secondary_course
elimination,psychologist,psychologist_1_3,ranked_direct,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_1_3,ranked_direct,2,enuresis_distress_impairment
elimination,psychologist,psychologist_1_3,ranked_direct,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,ranked_direct,4,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_1_3,ranked_direct,5,enuresis_nocturnal
elimination,psychologist,psychologist_1_3,no_top1_direct,1,enuresis_distress_impairment
elimination,psychologist,psychologist_1_3,no_top1_direct,2,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,no_top1_direct,3,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_1_3,no_top1_direct,4,enuresis_nocturnal
elimination,psychologist,psychologist_1_3,no_top1_direct,5,enuresis_primary_course
elimination,psychologist,psychologist_1_3,no_top2_direct,1,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,no_top2_direct,2,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_1_3,no_top2_direct,3,enuresis_nocturnal
elimination,psychologist,psychologist_1_3,no_top2_direct,4,enuresis_primary_course
elimination,psychologist,psychologist_1_3,no_top2_direct,5,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,balanced_direct,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_1_3,balanced_direct,2,enuresis_distress_impairment
elimination,psychologist,psychologist_1_3,balanced_direct,3,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_1_3,balanced_direct,4,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,balanced_direct,5,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,enuresis_core,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_1_3,enuresis_core,2,enuresis_distress_impairment
elimination,psychologist,psychologist_1_3,enuresis_core,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,enuresis_core,4,enuresis_nocturnal
elimination,psychologist,psychologist_1_3,enuresis_core,5,enuresis_primary_course
elimination,psychologist,psychologist_1_3,encopresis_augmented,1,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_1_3,encopresis_augmented,2,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_1_3,encopresis_augmented,3,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_1_3,encopresis_augmented,4,encopresis_constipation_present
elimination,psychologist,psychologist_1_3,encopresis_augmented,5,encopresis_overflow_incontinence
elimination,psychologist,psychologist_2_3,ranked_direct,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_2_3,ranked_direct,2,enuresis_distress_impairment
elimination,psychologist,psychologist_2_3,ranked_direct,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,ranked_direct,4,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_2_3,ranked_direct,5,enuresis_nocturnal
elimination,psychologist,psychologist_2_3,ranked_direct,6,enuresis_primary_course
elimination,psychologist,psychologist_2_3,ranked_direct,7,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,ranked_direct,8,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,ranked_direct,9,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,no_top1_direct,1,enuresis_distress_impairment
elimination,psychologist,psychologist_2_3,no_top1_direct,2,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,no_top1_direct,3,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_2_3,no_top1_direct,4,enuresis_nocturnal
elimination,psychologist,psychologist_2_3,no_top1_direct,5,enuresis_primary_course
elimination,psychologist,psychologist_2_3,no_top1_direct,6,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,no_top1_direct,7,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,no_top1_direct,8,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,no_top1_direct,9,encopresis_constipation_present
elimination,psychologist,psychologist_2_3,no_top2_direct,1,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,no_top2_direct,2,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_2_3,no_top2_direct,3,enuresis_nocturnal
elimination,psychologist,psychologist_2_3,no_top2_direct,4,enuresis_primary_course
elimination,psychologist,psychologist_2_3,no_top2_direct,5,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,no_top2_direct,6,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,no_top2_direct,7,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,no_top2_direct,8,encopresis_constipation_present
elimination,psychologist,psychologist_2_3,no_top2_direct,9,enuresis_diurnal
elimination,psychologist,psychologist_2_3,balanced_direct,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_2_3,balanced_direct,2,enuresis_distress_impairment
elimination,psychologist,psychologist_2_3,balanced_direct,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,balanced_direct,4,enuresis_nocturnal
elimination,psychologist,psychologist_2_3,balanced_direct,5,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_2_3,balanced_direct,6,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,balanced_direct,7,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,balanced_direct,8,encopresis_constipation_present
elimination,psychologist,psychologist_2_3,balanced_direct,9,enuresis_primary_course
elimination,psychologist,psychologist_2_3,enuresis_core,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_2_3,enuresis_core,2,enuresis_distress_impairment
elimination,psychologist,psychologist_2_3,enuresis_core,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,enuresis_core,4,enuresis_nocturnal
elimination,psychologist,psychologist_2_3,enuresis_core,5,enuresis_primary_course
elimination,psychologist,psychologist_2_3,enuresis_core,6,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,enuresis_core,7,enuresis_diurnal
elimination,psychologist,psychologist_2_3,enuresis_core,8,enuresis_secondary_course
elimination,psychologist,psychologist_2_3,encopresis_augmented,1,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_2_3,encopresis_augmented,2,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_2_3,encopresis_augmented,3,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,encopresis_augmented,4,encopresis_constipation_present
elimination,psychologist,psychologist_2_3,encopresis_augmented,5,encopresis_overflow_incontinence
elimination,psychologist,psychologist_2_3,encopresis_augmented,6,encopresis_visible_deposition_pattern
elimination,psychologist,psychologist_2_3,encopresis_augmented,7,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_2_3,encopresis_augmented,8,enuresis_distress_impairment
elimination,psychologist,psychologist_2_3,encopresis_augmented,9,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_full,ranked_direct,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_full,ranked_direct,2,enuresis_distress_impairment
elimination,psychologist,psychologist_full,ranked_direct,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_full,ranked_direct,4,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_full,ranked_direct,5,enuresis_nocturnal
elimination,psychologist,psychologist_full,ranked_direct,6,enuresis_primary_course
elimination,psychologist,psychologist_full,ranked_direct,7,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_full,ranked_direct,8,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_full,ranked_direct,9,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_full,ranked_direct,10,encopresis_constipation_present
elimination,psychologist,psychologist_full,ranked_direct,11,enuresis_diurnal
elimination,psychologist,psychologist_full,ranked_direct,12,encopresis_overflow_incontinence
elimination,psychologist,psychologist_full,ranked_direct,13,encopresis_visible_deposition_pattern
elimination,psychologist,psychologist_full,ranked_direct,14,enuresis_secondary_course
elimination,psychologist,psychologist_full,no_top1_direct,1,enuresis_distress_impairment
elimination,psychologist,psychologist_full,no_top1_direct,2,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_full,no_top1_direct,3,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_full,no_top1_direct,4,enuresis_nocturnal
elimination,psychologist,psychologist_full,no_top1_direct,5,enuresis_primary_course
elimination,psychologist,psychologist_full,no_top1_direct,6,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_full,no_top1_direct,7,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_full,no_top1_direct,8,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_full,no_top1_direct,9,encopresis_constipation_present
elimination,psychologist,psychologist_full,no_top1_direct,10,enuresis_diurnal
elimination,psychologist,psychologist_full,no_top1_direct,11,encopresis_overflow_incontinence
elimination,psychologist,psychologist_full,no_top1_direct,12,encopresis_visible_deposition_pattern
elimination,psychologist,psychologist_full,no_top1_direct,13,enuresis_secondary_course
elimination,psychologist,psychologist_full,no_top2_direct,1,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_full,no_top2_direct,2,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_full,no_top2_direct,3,enuresis_nocturnal
elimination,psychologist,psychologist_full,no_top2_direct,4,enuresis_primary_course
elimination,psychologist,psychologist_full,no_top2_direct,5,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_full,no_top2_direct,6,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_full,no_top2_direct,7,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_full,no_top2_direct,8,encopresis_constipation_present
elimination,psychologist,psychologist_full,no_top2_direct,9,enuresis_diurnal
elimination,psychologist,psychologist_full,no_top2_direct,10,encopresis_overflow_incontinence
elimination,psychologist,psychologist_full,no_top2_direct,11,encopresis_visible_deposition_pattern
elimination,psychologist,psychologist_full,no_top2_direct,12,enuresis_secondary_course
elimination,psychologist,psychologist_full,balanced_direct,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_full,balanced_direct,2,enuresis_distress_impairment
elimination,psychologist,psychologist_full,balanced_direct,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_full,balanced_direct,4,enuresis_nocturnal
elimination,psychologist,psychologist_full,balanced_direct,5,enuresis_primary_course
elimination,psychologist,psychologist_full,balanced_direct,6,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_full,balanced_direct,7,enuresis_diurnal
elimination,psychologist,psychologist_full,balanced_direct,8,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_full,balanced_direct,9,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_full,balanced_direct,10,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_full,balanced_direct,11,encopresis_constipation_present
elimination,psychologist,psychologist_full,balanced_direct,12,encopresis_overflow_incontinence
elimination,psychologist,psychologist_full,balanced_direct,13,encopresis_visible_deposition_pattern
elimination,psychologist,psychologist_full,balanced_direct,14,enuresis_secondary_course
elimination,psychologist,psychologist_full,enuresis_core,1,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_full,enuresis_core,2,enuresis_distress_impairment
elimination,psychologist,psychologist_full,enuresis_core,3,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_full,enuresis_core,4,enuresis_nocturnal
elimination,psychologist,psychologist_full,enuresis_core,5,enuresis_primary_course
elimination,psychologist,psychologist_full,enuresis_core,6,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_full,enuresis_core,7,enuresis_diurnal
elimination,psychologist,psychologist_full,enuresis_core,8,enuresis_secondary_course
elimination,psychologist,psychologist_full,encopresis_augmented,1,encopresis_event_frequency_per_month
elimination,psychologist,psychologist_full,encopresis_augmented,2,encopresis_duration_months_consecutive
elimination,psychologist,psychologist_full,encopresis_augmented,3,encopresis_not_due_substance_medical
elimination,psychologist,psychologist_full,encopresis_augmented,4,encopresis_constipation_present
elimination,psychologist,psychologist_full,encopresis_augmented,5,encopresis_overflow_incontinence
elimination,psychologist,psychologist_full,encopresis_augmented,6,encopresis_visible_deposition_pattern
elimination,psychologist,psychologist_full,encopresis_augmented,7,enuresis_event_frequency_per_week
elimination,psychologist,psychologist_full,encopresis_augmented,8,enuresis_distress_impairment
elimination,psychologist,psychologist_full,encopresis_augmented,9,enuresis_duration_months_consecutive
elimination,psychologist,psychologist_full,encopresis_augmented,10,enuresis_nocturnal
elimination,psychologist,psychologist_full,encopresis_augmented,11,enuresis_primary_course
elimination,psychologist,psychologist_full,encopresis_augmented,12,enuresis_not_due_substance_medical
elimination,psychologist,psychologist_full,encopresis_augmented,13,enuresis_diurnal
elimination,psychologist,psychologist_full,encopresis_augmented,14,enuresis_secondary_course
