feature_name,source_table,source_column,semantic_relation_to_target,risk_level,why_flagged,suggested_action,corr_target
sdq_01,sdq,sdq_01,strong_proxy,low,general_feature,keep,-0.5546556789380106
cbcl_105,cbcl,cbcl_105,strong_proxy,low,general_feature,keep,0.5535118078457412
sdq_14,sdq,sdq_14,strong_proxy,low,general_feature,keep,0.5517204898926585
cbcl_027,cbcl,cbcl_027,weak_or_none,low,general_feature,keep,0.5496378375361417
sdq_emotional_symptoms,sdq,sdq_emotional_symptoms,weak_or_none,low,general_feature,keep,0.5488877606697486
cbcl_024,cbcl,cbcl_024,weak_or_none,low,general_feature,keep,0.5479158735958297
sdq_13,sdq,sdq_13,weak_or_none,low,general_feature,keep,0.547304011253652
cbcl_096,cbcl,cbcl_096,weak_or_none,low,general_feature,keep,0.5443310046795141
sdq_09,sdq,sdq_09,weak_or_none,low,general_feature,keep,0.5442683739467236
cbcl_095,cbcl,cbcl_095,weak_or_none,low,general_feature,keep,0.5421512471466192
sdq_25,sdq,sdq_25,weak_or_none,low,general_feature,keep,0.5394967585376305
swan_total,swan,swan_total,weak_or_none,low,general_feature,keep,0.5366309336242122
ari_sr_symptom_total,ari,ari_sr_symptom_total,weak_or_none,low,general_feature,keep,0.5363897389834259
swan_inattention_total,swan,swan_inattention_total,weak_or_none,low,general_feature,keep,0.5359730057543672
sdq_impact,sdq,sdq_impact,weak_or_none,low,general_feature,keep,0.5346232119305834
cbcl_014,cbcl,cbcl_014,weak_or_none,low,general_feature,keep,0.534247225391691
cbcl_attention_problems_proxy,cbcl,cbcl_attention_problems_proxy,weak_or_none,low,general_feature,keep,0.5333294331093926
sdq_06,sdq,sdq_06,weak_or_none,low,general_feature,keep,0.5332368794153777
cbcl_002,cbcl,cbcl_002,weak_or_none,low,general_feature,keep,0.5323391548234477
cbcl_012,cbcl,cbcl_012,weak_or_none,low,general_feature,keep,0.531121070276222
sdq_prosocial_behavior,sdq,sdq_prosocial_behavior,weak_or_none,low,general_feature,keep,0.5310344119183712
cbcl_115,cbcl,cbcl_115,weak_or_none,low,general_feature,keep,0.5305260247532149
cbcl_011,cbcl,cbcl_011,weak_or_none,low,general_feature,keep,0.5304336837650887
cbcl_009,cbcl,cbcl_009,weak_or_none,low,general_feature,keep,0.530188598990433
cbcl_010,cbcl,cbcl_010,weak_or_none,low,general_feature,keep,0.5300999498128587
cbcl_rule_breaking_proxy,cbcl,cbcl_rule_breaking_proxy,weak_or_none,low,general_feature,keep,0.528805627769004
cbcl_101,cbcl,cbcl_101,weak_or_none,low,general_feature,keep,0.5286980492937885
sdq_11,sdq,sdq_11,weak_or_none,low,general_feature,keep,0.5261739014720962
cbcl_102,cbcl,cbcl_102,weak_or_none,low,general_feature,keep,0.5256091383935081
cbcl_007,cbcl,cbcl_007,weak_or_none,low,general_feature,keep,0.525280835384086
cbcl_022,cbcl,cbcl_022,weak_or_none,low,general_feature,keep,0.5249252462743605
cbcl_005,cbcl,cbcl_005,weak_or_none,low,general_feature,keep,0.5244248378531787
cbcl_020,cbcl,cbcl_020,weak_or_none,low,general_feature,keep,0.5232836282136062
cbcl_001,cbcl,cbcl_001,weak_or_none,low,general_feature,keep,0.5226368857548964
cbcl_103,cbcl,cbcl_103,weak_or_none,low,general_feature,keep,0.5210914387099379
sdq_05,sdq,sdq_05,weak_or_none,low,general_feature,keep,0.5208894383775436
cbcl_029,cbcl,cbcl_029,weak_or_none,low,general_feature,keep,0.519368873698673
sdq_22,sdq,sdq_22,weak_or_none,low,general_feature,keep,0.5174556549032844
sdq_02,sdq,sdq_02,weak_or_none,low,general_feature,keep,0.5168797736445898
cbcl_030,cbcl,cbcl_030,weak_or_none,low,general_feature,keep,0.5156165400148045
cbcl_093,cbcl,cbcl_093,weak_or_none,low,general_feature,keep,0.5155908874700792
swan_hyperactive_impulsive_total,swan,swan_hyperactive_impulsive_total,weak_or_none,low,general_feature,keep,0.5148389633115924
cbcl_006,cbcl,cbcl_006,weak_or_none,low,general_feature,keep,0.5124125646563135
ari_p_symptom_total,ari,ari_p_symptom_total,weak_or_none,low,general_feature,keep,0.5114670816532242
cbcl_023,cbcl,cbcl_023,weak_or_none,low,general_feature,keep,0.5106172187025368
cbcl_externalizing_proxy,cbcl,cbcl_externalizing_proxy,weak_or_none,low,general_feature,keep,0.5104727272033314
cbcl_117,cbcl,cbcl_117,weak_or_none,low,general_feature,keep,0.5100790813166787
cbcl_021,cbcl,cbcl_021,weak_or_none,low,general_feature,keep,0.5099854513692749
swan_12,swan,swan_12,weak_or_none,low,general_feature,keep,0.5093199937085641
cbcl_015,cbcl,cbcl_015,weak_or_none,low,general_feature,keep,0.5064650637717317
cbcl_003,cbcl,cbcl_003,weak_or_none,low,general_feature,keep,0.5063504742184154
swan_03,swan,swan_03,weak_or_none,low,general_feature,keep,0.5063191387686939
cbcl_084,cbcl,cbcl_084,weak_or_none,low,general_feature,keep,0.5056734925972426
swan_08,swan,swan_08,weak_or_none,low,general_feature,keep,0.5055157171837374
cbcl_111,cbcl,cbcl_111,weak_or_none,low,general_feature,keep,0.5035260282021523
icut_uncaring,icut,icut_uncaring,weak_or_none,low,general_feature,keep,0.5015193258125952
cbcl_066,cbcl,cbcl_066,weak_or_none,low,general_feature,keep,0.5000382534886624
cbcl_004,cbcl,cbcl_004,weak_or_none,low,general_feature,keep,0.4997122556254573
swan_14,swan,swan_14,weak_or_none,low,general_feature,keep,-0.49903365297478525
sdq_24,sdq,sdq_24,weak_or_none,low,general_feature,keep,0.49898949440266116
sdq_03,sdq,sdq_03,weak_or_none,low,general_feature,keep,0.49774763860793136
cbcl_061,cbcl,cbcl_061,weak_or_none,low,general_feature,keep,0.4972727515617713
cbcl_013,cbcl,cbcl_013,weak_or_none,low,general_feature,keep,0.49709841073247607
swan_05,swan,swan_05,weak_or_none,low,general_feature,keep,0.4968272544562511
cbcl_082,cbcl,cbcl_082,weak_or_none,low,general_feature,keep,0.49676446453365514
cbcl_078,cbcl,cbcl_078,weak_or_none,low,general_feature,keep,0.49593951733479746
icut_callousness,icut,icut_callousness,weak_or_none,low,general_feature,keep,0.49528201975316444
cbcl_062,cbcl,cbcl_062,weak_or_none,low,general_feature,keep,0.49462712500780437
cbcl_068,cbcl,cbcl_068,weak_or_none,low,general_feature,keep,-0.49450307914535835
cbcl_026,cbcl,cbcl_026,weak_or_none,low,general_feature,keep,0.49416542164618277
icut_total,icut,icut_total,weak_or_none,low,general_feature,keep,0.49386967743942684
cbcl_046,cbcl,cbcl_046,weak_or_none,low,general_feature,keep,0.4934184600877896
cbcl_057,cbcl,cbcl_057,weak_or_none,low,general_feature,keep,0.4915421931446292
cbcl_074,cbcl,cbcl_074,weak_or_none,low,general_feature,keep,0.49112341152826616
cbcl_083,cbcl,cbcl_083,weak_or_none,low,general_feature,keep,0.49021620712202274
cbcl_050,cbcl,cbcl_050,weak_or_none,low,general_feature,keep,0.49012953705982415
cbcl_039,cbcl,cbcl_039,weak_or_none,low,general_feature,keep,0.4895204068438122
sdq_21,sdq,sdq_21,weak_or_none,low,general_feature,keep,0.48934505956690755
cbcl_008,cbcl,cbcl_008,weak_or_none,low,general_feature,keep,0.48834563917674945
cbcl_065,cbcl,cbcl_065,weak_or_none,low,general_feature,keep,0.48831965022146245
swan_16,swan,swan_16,weak_or_none,low,general_feature,keep,0.4864964418093582
sdq_23,sdq,sdq_23,weak_or_none,low,general_feature,keep,-0.4862863927549233
cbcl_090,cbcl,cbcl_090,weak_or_none,low,general_feature,keep,0.4861560116238956
sdq_18,sdq,sdq_18,weak_or_none,low,general_feature,keep,0.4861297255617695
cbcl_073,cbcl,cbcl_073,weak_or_none,low,general_feature,keep,0.48588128266183933
cbcl_107,cbcl,cbcl_107,weak_or_none,low,general_feature,keep,0.4856681064544626
cbcl_049,cbcl,cbcl_049,weak_or_none,low,general_feature,keep,0.48480449497911793
cbcl_067,cbcl,cbcl_067,weak_or_none,low,general_feature,keep,0.4837440690093528
sdq_10,sdq,sdq_10,weak_or_none,low,general_feature,keep,0.48289091159240605
cbcl_041,cbcl,cbcl_041,weak_or_none,low,general_feature,keep,0.4828666103418596
sdq_07,sdq,sdq_07,weak_or_none,low,general_feature,keep,0.4808865843570908
cbcl_064,cbcl,cbcl_064,weak_or_none,low,general_feature,keep,0.4808758375214961
swan_02,swan,swan_02,weak_or_none,low,general_feature,keep,0.4800550068762198
cbcl_069,cbcl,cbcl_069,weak_or_none,low,general_feature,keep,0.48000575040488436
cbcl_051,cbcl,cbcl_051,weak_or_none,low,general_feature,keep,0.4797320404352631
cbcl_031,cbcl,cbcl_031,weak_or_none,low,general_feature,keep,0.4787581665821475
cbcl_028,cbcl,cbcl_028,weak_or_none,low,general_feature,keep,0.4786790696466043
cbcl_063,cbcl,cbcl_063,weak_or_none,low,general_feature,keep,0.47863892962762106
cbcl_110,cbcl,cbcl_110,weak_or_none,low,general_feature,keep,-0.47843151965153674
swan_06,swan,swan_06,weak_or_none,low,general_feature,keep,0.47811038476443424
icut_05,icut,icut_05,weak_or_none,low,general_feature,keep,-0.4776188625875468
cbcl_017,cbcl,cbcl_017,weak_or_none,low,general_feature,keep,-0.477062978378606
cbcl_042,cbcl,cbcl_042,weak_or_none,low,general_feature,keep,0.47656103589739757
cbcl_089,cbcl,cbcl_089,weak_or_none,low,general_feature,keep,0.47627939410914827
cbcl_076,cbcl,cbcl_076,weak_or_none,low,general_feature,keep,0.4762770508436064
cbcl_025,cbcl,cbcl_025,weak_or_none,low,general_feature,keep,0.47620862932460717
cbcl_091,cbcl,cbcl_091,weak_or_none,low,general_feature,keep,0.4752085366445496
cbcl_072,cbcl,cbcl_072,weak_or_none,low,general_feature,keep,0.4749976684556534
mfq_sr_total,mfq,mfq_sr_total,weak_or_none,low,general_feature,keep,0.47332647878933876
swan_09,swan,swan_09,weak_or_none,low,general_feature,keep,0.472286499834728
swan_11,swan,swan_11,weak_or_none,low,general_feature,keep,0.47150378369109874
cbcl_087,cbcl,cbcl_087,weak_or_none,low,general_feature,keep,0.47118575705504245
cbcl_034,cbcl,cbcl_034,weak_or_none,low,general_feature,keep,0.47065826342758255
scared_sr_social_anxiety,scared,scared_sr_social_anxiety,weak_or_none,low,general_feature,keep,0.47055583227329184
cbcl_037,cbcl,cbcl_037,weak_or_none,low,general_feature,keep,0.4700179744316794
cbcl_044,cbcl,cbcl_044,weak_or_none,low,general_feature,keep,0.46903438577055834
ari_sr_02,ari,ari_sr_02,weak_or_none,low,general_feature,keep,0.46873319412816167
cbcl_019,cbcl,cbcl_019,weak_or_none,low,general_feature,keep,0.4685619874065105
swan_13,swan,swan_13,weak_or_none,low,general_feature,keep,0.4682525177915427
swan_10,swan,swan_10,weak_or_none,low,general_feature,keep,0.4678913786786236
cbcl_060,cbcl,cbcl_060,weak_or_none,low,general_feature,keep,0.4670725973706352
cbcl_058,cbcl,cbcl_058,weak_or_none,low,general_feature,keep,0.4669334373841386
scared_sr_total,scared,scared_sr_total,weak_or_none,low,general_feature,keep,0.4666495059207117
icut_15,icut,icut_15,weak_or_none,low,general_feature,keep,0.46618694872796684
cbcl_043,cbcl,cbcl_043,weak_or_none,low,general_feature,keep,0.4661625405626535
swan_07,swan,swan_07,weak_or_none,low,general_feature,keep,0.46501210071918414
cbcl_086,cbcl,cbcl_086,weak_or_none,low,general_feature,keep,-0.46483124915666524
icut_07,icut,icut_07,weak_or_none,low,general_feature,keep,0.46480546402688483
swan_04,swan,swan_04,weak_or_none,low,general_feature,keep,0.4640547225392012
cbcl_071,cbcl,cbcl_071,weak_or_none,low,general_feature,keep,0.46397473056596633
sdq_17,sdq,sdq_17,weak_or_none,low,general_feature,keep,0.4634927801365729
cbcl_055,cbcl,cbcl_055,weak_or_none,low,general_feature,keep,0.4627681789732294
cbcl_040,cbcl,cbcl_040,weak_or_none,low,general_feature,keep,0.462488097371629
icut_12,icut,icut_12,weak_or_none,low,general_feature,keep,0.46104660915175244
cbcl_070,cbcl,cbcl_070,weak_or_none,low,general_feature,keep,0.4599787986312949
icut_20,icut,icut_20,weak_or_none,low,general_feature,keep,0.4597043297882344
cbcl_033,cbcl,cbcl_033,weak_or_none,low,general_feature,keep,0.45945666322122497
mfq_p_total,mfq,mfq_p_total,weak_or_none,low,general_feature,keep,0.45928676716158473
icut_06,icut,icut_06,weak_or_none,low,general_feature,keep,0.4590307194777184
ari_sr_04,ari,ari_sr_04,weak_or_none,low,general_feature,keep,0.45895509424345143
scared_sr_01,scared,scared_sr_01,weak_or_none,low,general_feature,keep,0.4586644423964224
cbcl_056,cbcl,cbcl_056,weak_or_none,low,general_feature,keep,0.4585105645688645
cbcl_048,cbcl,cbcl_048,weak_or_none,low,general_feature,keep,-0.4584449925186403
scared_sr_separation_anxiety,scared,scared_sr_separation_anxiety,weak_or_none,low,general_feature,keep,0.4581592567216338
scared_p_school_avoidance,scared,scared_p_school_avoidance,weak_or_none,low,general_feature,keep,0.4580245957678151
cbcl_079,cbcl,cbcl_079,weak_or_none,low,general_feature,keep,-0.45787594040930857
cbcl_059,cbcl,cbcl_059,weak_or_none,low,general_feature,keep,-0.45740088437940307
icut_08,icut,icut_08,weak_or_none,low,general_feature,keep,0.45726708286663187
sdq_12,sdq,sdq_12,weak_or_none,low,general_feature,keep,0.4571272653123548
swan_15,swan,swan_15,weak_or_none,low,general_feature,keep,0.4570393899396347
scared_sr_generalized_anxiety,scared,scared_sr_generalized_anxiety,weak_or_none,low,general_feature,keep,0.4564230052589345
icut_18,icut,icut_18,weak_or_none,low,general_feature,keep,-0.45528400744348624
ari_sr_06,ari,ari_sr_06,weak_or_none,low,general_feature,keep,0.4551734266433622
cbcl_018,cbcl,cbcl_018,weak_or_none,low,general_feature,keep,0.45511012200757067
sdq_19,sdq,sdq_19,weak_or_none,low,general_feature,keep,0.45487860790735896
cbcl_052,cbcl,cbcl_052,weak_or_none,low,general_feature,keep,0.45481957473950096
cbcl_038,cbcl,cbcl_038,weak_or_none,low,general_feature,keep,0.45364134983552223
cbcl_053,cbcl,cbcl_053,weak_or_none,low,general_feature,keep,0.4533725034160147
cbcl_077,cbcl,cbcl_077,weak_or_none,low,general_feature,keep,0.4527777626638854
cbcl_045,cbcl,cbcl_045,weak_or_none,low,general_feature,keep,0.4520116082000456
icut_22,icut,icut_22,weak_or_none,low,general_feature,keep,-0.4515394426253895
cbcl_080,cbcl,cbcl_080,weak_or_none,low,general_feature,keep,-0.4513040267069113
cbcl_054,cbcl,cbcl_054,weak_or_none,low,general_feature,keep,0.45054915841552423
scared_sr_06,scared,scared_sr_06,weak_or_none,low,general_feature,keep,0.4504237291700358
icut_14,icut,icut_14,weak_or_none,low,general_feature,keep,0.4502671248061
icut_04,icut,icut_04,weak_or_none,low,general_feature,keep,0.45006749335465196
ari_sr_07,ari,ari_sr_07,weak_or_none,low,general_feature,keep,0.4497057408009871
ari_sr_impairment_item,ari,ari_sr_impairment_item,weak_or_none,low,general_feature,keep,0.4497057408009871
cbcl_081,cbcl,cbcl_081,weak_or_none,low,general_feature,keep,0.44926802762137896
cbcl_036,cbcl,cbcl_036,weak_or_none,low,general_feature,keep,0.4486032026694972
cbcl_016,cbcl,cbcl_016,weak_or_none,low,general_feature,keep,0.4472845977624815
icut_13,icut,icut_13,weak_or_none,low,general_feature,keep,0.44674753037614073
scared_p_41,scared,scared_p_41,weak_or_none,low,general_feature,keep,-0.44601800604058356
cbcl_088,cbcl,cbcl_088,weak_or_none,low,general_feature,keep,0.44559024290161575
icut_19,icut,icut_19,weak_or_none,low,general_feature,keep,0.4453129130208175
cbcl_032,cbcl,cbcl_032,weak_or_none,low,general_feature,keep,0.44453360505739853
icut_23,icut,icut_23,weak_or_none,low,general_feature,keep,-0.4441473482329802
scared_sr_panic_somatic,scared,scared_sr_panic_somatic,weak_or_none,low,general_feature,keep,0.4441061206396856
icut_21,icut,icut_21,weak_or_none,low,general_feature,keep,0.4431881625272902
swan_17,swan,swan_17,weak_or_none,low,general_feature,keep,-0.4431835140573244
ari_p_06,ari,ari_p_06,weak_or_none,low,general_feature,keep,0.4427315952108817
ari_sr_01,ari,ari_sr_01,weak_or_none,low,general_feature,keep,0.4406081384534715
icut_03,icut,icut_03,weak_or_none,low,general_feature,keep,0.4399299438959175
scared_sr_39,scared,scared_sr_39,weak_or_none,low,general_feature,keep,0.43913585604609956
cbcl_aggressive_behavior_proxy,cbcl,cbcl_aggressive_behavior_proxy,weak_or_none,low,general_feature,keep,0.4386520554775331
icut_24,icut,icut_24,weak_or_none,low,general_feature,keep,0.4380362070846634
icut_01,icut,icut_01,weak_or_none,low,general_feature,keep,0.4376778620972186
ari_p_04,ari,ari_p_04,weak_or_none,low,general_feature,keep,0.43706154311122036
swan_18,swan,swan_18,weak_or_none,low,general_feature,keep,0.43608016802545924
ari_p_07,ari,ari_p_07,weak_or_none,low,general_feature,keep,0.43589265148298495
ari_p_impairment_item,ari,ari_p_impairment_item,weak_or_none,low,general_feature,keep,0.43589265148298495
mfq_sr_01,mfq,mfq_sr_01,weak_or_none,low,general_feature,keep,0.4348896931286315
scared_sr_29,scared,scared_sr_29,weak_or_none,low,general_feature,keep,0.43400100996947943
ari_p_02,ari,ari_p_02,weak_or_none,low,general_feature,keep,0.4336130769493306
ari_sr_03,ari,ari_sr_03,weak_or_none,low,general_feature,keep,0.4325198780287022
scared_p_total,scared,scared_p_total,weak_or_none,low,general_feature,keep,0.4324123771115162
scared_p_12,scared,scared_p_12,weak_or_none,low,general_feature,keep,0.43215666483177956
icut_02,icut,icut_02,weak_or_none,low,general_feature,keep,0.4310987006777739
icut_10,icut,icut_10,weak_or_none,low,general_feature,keep,0.4303638375724991
swan_01,swan,swan_01,weak_or_none,low,general_feature,keep,0.43034780017633306
cbcl_085,cbcl,cbcl_085,weak_or_none,low,general_feature,keep,0.42782382775530936
cbcl_035,cbcl,cbcl_035,weak_or_none,low,general_feature,keep,0.4273259642187221
mfq_sr_09,mfq,mfq_sr_09,weak_or_none,low,general_feature,keep,0.42486626209421874
scared_sr_school_avoidance,scared,scared_sr_school_avoidance,weak_or_none,low,general_feature,keep,0.42477936717282033
scared_p_separation_anxiety,scared,scared_p_separation_anxiety,weak_or_none,low,general_feature,keep,0.4247777131438877
ari_sr_05,ari,ari_sr_05,weak_or_none,low,general_feature,keep,0.42130088294427365
icut_16,icut,icut_16,weak_or_none,low,general_feature,keep,0.4198074781888404
mfq_sr_20,mfq,mfq_sr_20,weak_or_none,low,general_feature,keep,-0.4196711314623432
cbcl_047,cbcl,cbcl_047,weak_or_none,low,general_feature,keep,-0.41856099672825436
scared_p_panic_somatic,scared,scared_p_panic_somatic,weak_or_none,low,general_feature,keep,0.41668874030537745
icut_09,icut,icut_09,weak_or_none,low,general_feature,keep,0.41567904488536467
ari_p_01,ari,ari_p_01,weak_or_none,low,general_feature,keep,0.4150261513631709
scared_p_possible_anxiety_disorder_cut25,scared,scared_p_possible_anxiety_disorder_cut25,weak_or_none,low,general_feature,keep,0.4098451875799711
ari_p_03,ari,ari_p_03,weak_or_none,low,general_feature,keep,0.40861346954595834
mfq_sr_15,mfq,mfq_sr_15,weak_or_none,low,general_feature,keep,0.4071152164341068
ari_p_05,ari,ari_p_05,weak_or_none,low,general_feature,keep,0.4067416938577688
mfq_p_07,mfq,mfq_p_07,weak_or_none,low,general_feature,keep,0.40652384562557137
scared_p_04,scared,scared_p_04,weak_or_none,low,general_feature,keep,0.4059046968837987
scared_sr_possible_anxiety_disorder_cut25,scared,scared_sr_possible_anxiety_disorder_cut25,weak_or_none,low,general_feature,keep,0.40551254959309607
mfq_sr_25,mfq,mfq_sr_25,weak_or_none,low,general_feature,keep,0.40481406361599404
icut_17,icut,icut_17,weak_or_none,low,general_feature,keep,0.40382880409977767
mfq_p_33,mfq,mfq_p_33,weak_or_none,low,general_feature,keep,0.4037711083317441
cbcl_075,cbcl,cbcl_075,weak_or_none,low,general_feature,keep,-0.40353021705997627
icut_11,icut,icut_11,weak_or_none,low,general_feature,keep,0.40127740264264433
scared_p_generalized_anxiety,scared,scared_p_generalized_anxiety,weak_or_none,low,general_feature,keep,0.40117769448391416
scared_p_18,scared,scared_p_18,weak_or_none,low,general_feature,keep,-0.3995384261531508
mfq_sr_23,mfq,mfq_sr_23,weak_or_none,low,general_feature,keep,0.39904220584707545
scared_sr_38,scared,scared_sr_38,weak_or_none,low,general_feature,keep,-0.39902665852293406
scared_p_01,scared,scared_p_01,weak_or_none,low,general_feature,keep,-0.39724592625359134
scared_sr_31,scared,scared_sr_31,weak_or_none,low,general_feature,keep,0.3969789742149568
mfq_sr_22,mfq,mfq_sr_22,weak_or_none,low,general_feature,keep,0.39381942146809407
mfq_sr_30,mfq,mfq_sr_30,weak_or_none,low,general_feature,keep,0.3935021024317669
mfq_p_32,mfq,mfq_p_32,weak_or_none,low,general_feature,keep,0.3933603080210139
mfq_sr_04,mfq,mfq_sr_04,weak_or_none,low,general_feature,keep,0.39208070857429644
scared_p_32,scared,scared_p_32,weak_or_none,low,general_feature,keep,0.3920198297632638
mfq_sr_17,mfq,mfq_sr_17,weak_or_none,low,general_feature,keep,0.3917386122665218
scared_sr_24,scared,scared_sr_24,weak_or_none,low,general_feature,keep,0.39173788609577304
scared_sr_18,scared,scared_sr_18,weak_or_none,low,general_feature,keep,0.39170579588498117
mfq_sr_11,mfq,mfq_sr_11,weak_or_none,low,general_feature,keep,0.3916997586305321
scared_p_35,scared,scared_p_35,weak_or_none,low,general_feature,keep,0.39155899841258485
mfq_sr_10,mfq,mfq_sr_10,weak_or_none,low,general_feature,keep,0.3913672908462741
scared_p_17,scared,scared_p_17,weak_or_none,low,general_feature,keep,0.39087460953564135
mfq_p_24,mfq,mfq_p_24,weak_or_none,low,general_feature,keep,-0.3896501255919164
mfq_p_16,mfq,mfq_p_16,weak_or_none,low,general_feature,keep,0.38960038087019155
scared_p_24,scared,scared_p_24,weak_or_none,low,general_feature,keep,0.38947369362541784
scared_sr_30,scared,scared_sr_30,weak_or_none,low,general_feature,keep,0.38870328421173095
scared_p_14,scared,scared_p_14,weak_or_none,low,general_feature,keep,0.38847208113725884
mfq_sr_32,mfq,mfq_sr_32,weak_or_none,low,general_feature,keep,0.38831530491049515
mfq_p_20,mfq,mfq_p_20,weak_or_none,low,general_feature,keep,0.3877331884769432
scared_p_21,scared,scared_p_21,weak_or_none,low,general_feature,keep,-0.3868049717505179
cdi_total,cdi,cdi_total,weak_or_none,low,general_feature,keep,0.3867372841763265
mfq_sr_18,mfq,mfq_sr_18,weak_or_none,low,general_feature,keep,0.3862902211300034
mfq_sr_19,mfq,mfq_sr_19,weak_or_none,low,general_feature,keep,0.38511107653217863
scared_p_25,scared,scared_p_25,weak_or_none,low,general_feature,keep,0.3849331280887938
scared_p_20,scared,scared_p_20,weak_or_none,low,general_feature,keep,-0.38477445362029944
scared_sr_03,scared,scared_sr_03,weak_or_none,low,general_feature,keep,0.3840467793796497
scared_sr_10,scared,scared_sr_10,weak_or_none,low,general_feature,keep,0.3837862088151313
mfq_sr_14,mfq,mfq_sr_14,weak_or_none,low,general_feature,keep,0.3836348826399805
scared_p_15,scared,scared_p_15,weak_or_none,low,general_feature,keep,0.38360471342261093
scared_sr_26,scared,scared_sr_26,weak_or_none,low,general_feature,keep,0.3835372720584036
scared_p_33,scared,scared_p_33,weak_or_none,low,general_feature,keep,0.3828568005946579
scared_p_28,scared,scared_p_28,weak_or_none,low,general_feature,keep,0.3827864036495923
mfq_p_21,mfq,mfq_p_21,weak_or_none,low,general_feature,keep,0.3817359166071541
scared_p_39,scared,scared_p_39,weak_or_none,low,general_feature,keep,-0.3809322572604299
scared_p_22,scared,scared_p_22,weak_or_none,low,general_feature,keep,0.37939895995528544
scared_sr_35,scared,scared_sr_35,weak_or_none,low,general_feature,keep,0.37819243901838545
scared_p_11,scared,scared_p_11,weak_or_none,low,general_feature,keep,0.3779020384430066
scared_sr_14,scared,scared_sr_14,weak_or_none,low,general_feature,keep,0.3776657057329708
mfq_p_22,mfq,mfq_p_22,weak_or_none,low,general_feature,keep,0.37738992527716464
scared_p_30,scared,scared_p_30,weak_or_none,low,general_feature,keep,0.37717888678342965
mfq_sr_02,mfq,mfq_sr_02,weak_or_none,low,general_feature,keep,0.3770682962407005
scared_p_06,scared,scared_p_06,weak_or_none,low,general_feature,keep,0.37662294533643936
mfq_sr_29,mfq,mfq_sr_29,weak_or_none,low,general_feature,keep,0.3764284055528529
cdi_15,cdi,cdi_15,weak_or_none,low,general_feature,keep,0.37639574926700575
scared_sr_25,scared,scared_sr_25,weak_or_none,low,general_feature,keep,0.37499456599771375
scared_sr_15,scared,scared_sr_15,weak_or_none,low,general_feature,keep,-0.37471676941362997
scared_p_31,scared,scared_p_31,weak_or_none,low,general_feature,keep,0.37442655422866994
mfq_sr_24,mfq,mfq_sr_24,weak_or_none,low,general_feature,keep,0.3743474716484878
scared_sr_20,scared,scared_sr_20,weak_or_none,low,general_feature,keep,0.3742214254574384
mfq_p_29,mfq,mfq_p_29,weak_or_none,low,general_feature,keep,0.373898632234329
mfq_sr_03,mfq,mfq_sr_03,weak_or_none,low,general_feature,keep,0.37352871620834016
mfq_sr_08,mfq,mfq_sr_08,weak_or_none,low,general_feature,keep,0.3734974785601654
