feature,keep_for_new_primary_line,removal_reason,layer,is_direct_input,is_transparent_derived,visible_in_modes_matrix,depends_on_external_instrument_or_score
conduct_11_lies_to_obtain_or_avoid,yes,retained,dsm5,yes,no,yes,no
conduct_12_steals_without_confrontation,yes,retained,dsm5,yes,no,yes,no
conduct_13_stays_out_at_night_before_13,yes,retained,dsm5,yes,no,yes,no
conduct_14_runs_away_overnight,yes,retained,dsm5,yes,no,yes,no
conduct_15_truancy_before_13,yes,retained,dsm5,yes,no,yes,no
conduct_aggression_count,yes,retained,dsm5,no,yes,no,no
conduct_deceit_theft_count,yes,retained,dsm5,no,yes,no,no
conduct_destruction_count,yes,retained,dsm5,no,yes,no,no
conduct_final_dsm5_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
conduct_impairment_global,yes,retained,dsm5,yes,no,yes,no
conduct_lpe_01_lack_remorse_guilt,yes,retained,dsm5,yes,no,yes,no
conduct_lpe_02_callous_lack_empathy,yes,retained,dsm5,yes,no,yes,no
conduct_lpe_03_unconcerned_performance,yes,retained,dsm5,yes,no,yes,no
conduct_lpe_04_shallow_deficient_affect,yes,retained,dsm5,yes,no,yes,no
conduct_lpe_count,yes,retained,dsm5,no,yes,no,no
conduct_lpe_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
conduct_no_antisocial_personality_if_18plus,yes,retained,dsm5,yes,no,yes,no
conduct_onset_before_10,yes,retained,dsm5,yes,no,yes,no
conduct_recent_6m_count,yes,retained,dsm5,no,yes,no,no
conduct_serious_rule_violation_count,yes,retained,dsm5,no,yes,no,no
conduct_symptom_count_12m,yes,retained,dsm5,no,yes,no,no
conduct_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
dmdd_age_6_to_18,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
dmdd_context_count,yes,retained,dsm5,no,yes,no,no
dmdd_context_home,yes,retained,dsm5,yes,no,yes,no
dmdd_context_peers,yes,retained,dsm5,yes,no,yes,no
dmdd_context_school,yes,retained,dsm5,yes,no,yes,no
dmdd_developmentally_inappropriate,yes,retained,dsm5,yes,no,yes,no
dmdd_duration_months,yes,retained,dsm5,yes,no,yes,no
dmdd_irritable_between_outbursts,yes,retained,dsm5,yes,no,yes,no
dmdd_no_mania_hypomania,yes,retained,dsm5,yes,no,yes,no
dmdd_no_substance_medical,yes,retained,dsm5,yes,no,yes,no
dmdd_not_better_explained,yes,retained,dsm5,yes,no,yes,no
dmdd_one_setting_severe,yes,retained,dsm5,no,yes,no,no
dmdd_onset_before_10,yes,retained,dsm5,yes,no,yes,no
dmdd_outbursts_frequency_per_week,yes,retained,dsm5,yes,no,yes,no
dmdd_outbursts_severity,yes,retained,dsm5,yes,no,yes,no
dmdd_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
elimination_any_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
elimination_type_code,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
encopresis_age_ge_4,yes,retained,dsm5,no,yes,no,no
encopresis_constipation_present,yes,retained,dsm5,yes,no,yes,no
encopresis_duration_months_consecutive,yes,retained,dsm5,yes,no,yes,no
encopresis_event_frequency_per_month,yes,retained,dsm5,yes,no,yes,no
encopresis_not_due_substance_medical,yes,retained,dsm5,yes,no,yes,no
encopresis_overflow_incontinence,yes,retained,dsm5,yes,no,yes,no
encopresis_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
encopresis_visible_deposition_pattern,yes,retained,dsm5,yes,no,yes,no
enuresis_age_ge_5,yes,retained,dsm5,no,yes,no,no
enuresis_distress_impairment,yes,retained,dsm5,yes,no,yes,no
enuresis_diurnal,yes,retained,dsm5,yes,no,yes,no
enuresis_duration_months_consecutive,yes,retained,dsm5,yes,no,yes,no
enuresis_event_frequency_per_week,yes,retained,dsm5,yes,no,yes,no
enuresis_nocturnal,yes,retained,dsm5,yes,no,yes,no
enuresis_not_due_substance_medical,yes,retained,dsm5,yes,no,yes,no
enuresis_primary_course,yes,retained,dsm5,yes,no,yes,no
enuresis_secondary_course,yes,retained,dsm5,yes,no,yes,no
enuresis_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
gad_assoc_01_restlessness,yes,retained,dsm5,yes,no,yes,no
gad_assoc_02_fatigue,yes,retained,dsm5,yes,no,yes,no
gad_assoc_03_concentration_difficulty,yes,retained,dsm5,yes,no,yes,no
gad_assoc_04_irritability,yes,retained,dsm5,yes,no,yes,no
gad_assoc_05_muscle_tension,yes,retained,dsm5,yes,no,yes,no
gad_assoc_06_sleep_problems,yes,retained,dsm5,yes,no,yes,no
gad_assoc_symptom_count,yes,retained,dsm5,no,yes,no,no
gad_difficulty_controlling_worry,yes,retained,dsm5,yes,no,yes,no
gad_duration_months,yes,retained,dsm5,yes,no,yes,no
gad_excessive_worry_multiple_areas,yes,retained,dsm5,yes,no,yes,no
gad_impairment,yes,retained,dsm5,yes,no,yes,no
gad_not_better_explained,yes,retained,dsm5,yes,no,yes,no
gad_not_due_substance_medical,yes,retained,dsm5,yes,no,yes,no
gad_threshold_met_child,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
icut_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
mdd_01_depressed_or_irritable_mood,yes,retained,dsm5,yes,no,yes,no
mdd_02_loss_of_interest_or_pleasure,yes,retained,dsm5,yes,no,yes,no
mdd_03_weight_or_appetite_change,yes,retained,dsm5,yes,no,yes,no
mdd_04_sleep_change,yes,retained,dsm5,yes,no,yes,no
mdd_05_psychomotor_change,yes,retained,dsm5,yes,no,yes,no
mdd_06_fatigue_or_low_energy,yes,retained,dsm5,yes,no,yes,no
mdd_07_worthlessness_or_excessive_guilt,yes,retained,dsm5,yes,no,yes,no
mdd_08_concentration_or_decision_difficulty,yes,retained,dsm5,yes,no,yes,no
mdd_09_death_or_suicidal_thoughts,yes,retained,dsm5,yes,no,yes,no
mdd_core_symptom_met,yes,retained,dsm5,no,yes,no,no
mdd_duration_weeks,yes,retained,dsm5,yes,no,yes,no
mdd_impairment,yes,retained,dsm5,yes,no,yes,no
mdd_no_mania_hypomania_history,yes,retained,dsm5,yes,no,yes,no
mdd_not_due_substance_medical,yes,retained,dsm5,yes,no,yes,no
mdd_not_psychotic_explained,yes,retained,dsm5,yes,no,yes,no
mdd_symptom_count,yes,retained,dsm5,no,yes,no,no
mdd_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
mfq_p_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
pdd_01_appetite_change,yes,retained,dsm5,yes,no,yes,no
pdd_02_sleep_change,yes,retained,dsm5,yes,no,yes,no
pdd_03_low_energy,yes,retained,dsm5,yes,no,yes,no
pdd_04_low_self_esteem,yes,retained,dsm5,yes,no,yes,no
pdd_05_concentration_difficulty,yes,retained,dsm5,yes,no,yes,no
pdd_06_hopelessness,yes,retained,dsm5,yes,no,yes,no
pdd_depressed_or_irritable_mood,yes,retained,dsm5,yes,no,yes,no
pdd_duration_months_child,yes,retained,dsm5,yes,no,yes,no
pdd_impairment,yes,retained,dsm5,yes,no,yes,no
pdd_no_gap_gt_2_months,yes,retained,dsm5,yes,no,yes,no
pdd_no_mania_hypomania,yes,retained,dsm5,yes,no,yes,no
pdd_no_psychotic_explained,yes,retained,dsm5,yes,no,yes,no
pdd_no_substance_medical,yes,retained,dsm5,yes,no,yes,no
pdd_symptom_count,yes,retained,dsm5,no,yes,no,no
pdd_threshold_met_child,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
scared_p_generalized_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_panic_somatic,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_possible_anxiety_disorder_cut25,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_school_avoidance,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_separation_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_social_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_generalized_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_panic_somatic,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_possible_anxiety_disorder_cut25,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_school_avoidance,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_separation_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_social_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_conduct_problems,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_emotional_symptoms,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_hyperactivity_inattention,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_impact,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_peer_problems,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_prosocial_behavior,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_total_difficulties,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sep_anx_01_distress_on_separation,yes,retained,dsm5,yes,no,yes,no
sep_anx_02_worry_losing_attachment_figures,yes,retained,dsm5,yes,no,yes,no
sep_anx_03_worry_event_causing_separation,yes,retained,dsm5,yes,no,yes,no
sep_anx_04_refuses_leaving_home_school,yes,retained,dsm5,yes,no,yes,no
sep_anx_05_fear_being_alone_without_attachment,yes,retained,dsm5,yes,no,yes,no
sep_anx_06_refuses_sleep_away_or_alone,yes,retained,dsm5,yes,no,yes,no
sep_anx_07_separation_nightmares,yes,retained,dsm5,yes,no,yes,no
sep_anx_08_physical_complaints_on_separation,yes,retained,dsm5,yes,no,yes,no
sep_anx_duration_weeks,yes,retained,dsm5,yes,no,yes,no
sep_anx_impairment,yes,retained,dsm5,yes,no,yes,no
sep_anx_not_better_explained,yes,retained,dsm5,yes,no,yes,no
sep_anx_symptom_count,yes,retained,dsm5,no,yes,no,no
sep_anx_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
sex_assigned_at_birth,yes,retained,clean_base,yes,no,yes,no
social_anxiety_almost_always_triggered,yes,retained,dsm5,yes,no,yes,no
social_anxiety_avoid_or_endure_intense,yes,retained,dsm5,yes,no,yes,no
social_anxiety_children_peer_only_flag,yes,retained,dsm5,yes,no,yes,no
social_anxiety_disproportionate,yes,retained,dsm5,yes,no,yes,no
social_anxiety_duration_months,yes,retained,dsm5,yes,no,yes,no
social_anxiety_fear_being_observed,yes,retained,dsm5,yes,no,yes,no
social_anxiety_fear_interactions,yes,retained,dsm5,yes,no,yes,no
social_anxiety_fear_negative_evaluation,yes,retained,dsm5,yes,no,yes,no
social_anxiety_fear_performance,yes,retained,dsm5,yes,no,yes,no
social_anxiety_impairment,yes,retained,dsm5,yes,no,yes,no
social_anxiety_not_better_explained,yes,retained,dsm5,yes,no,yes,no
social_anxiety_not_due_substance_medical,yes,retained,dsm5,yes,no,yes,no
social_anxiety_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
swan_hyperactive_impulsive_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
swan_inattention_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
swan_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
target_domain_adhd_final,no,target_column,clean_base,no,no,no,no
target_domain_anxiety_final,no,target_column,clean_base,no,no,no,no
target_domain_conduct_final,no,target_column,clean_base,no,no,no,no
target_domain_depression_final,no,target_column,clean_base,no,no,no,no
target_domain_elimination_final,no,target_column,clean_base,no,no,no,no
