path,size_mb_approx,risk_reason,regenerable_yes_no,should_stay_out_of_repo_yes_no,recommendation
artifacts\models\calibrated\dataset_conduct_minimal__research_extended\calibrated.joblib,9.333,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_conduct_minimal__research_extended\calibrated.joblib,9.333,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_depression_items__strict_no_leakage\calibrated.joblib,9.263,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_depression_items__strict_no_leakage\calibrated.joblib,9.263,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_elimination_core__research_extended\calibrated.joblib,9.143,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_elimination_core__research_extended\calibrated.joblib,9.143,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_depression_items__research_extended\calibrated.joblib,9.068,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_depression_items__research_extended\calibrated.joblib,9.068,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_anxiety_combined__research_extended\calibrated.joblib,8.556,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_anxiety_combined__research_extended\calibrated.joblib,8.556,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_anxiety_parent__research_extended\calibrated.joblib,8.411,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_anxiety_parent__research_extended\calibrated.joblib,8.411,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_adhd_clinical__strict_no_leakage\calibrated.joblib,7.615,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_adhd_v1_baseline\calibrated.joblib,7.615,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_adhd_clinical__strict_no_leakage\calibrated.joblib,7.615,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\champions\rf_adhd_current\calibrated.joblib,7.615,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_adhd_v1_baseline\calibrated.joblib,7.615,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
venv\Lib\site-packages\cryptography\hazmat\bindings\_rust.pyd,7.535,local_environment_file,unknown,yes,ignore_from_repo
venv\Lib\site-packages\PIL\_avif.cp312-win_amd64.pyd,7.471,local_environment_file,unknown,yes,ignore_from_repo
artifacts\models\multilabel\master_multilabel_ready__strict_no_leakage\pipeline.joblib,7.401,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_multilabel_v1_baseline\pipeline.joblib,7.401,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\champions\rf_multilabel_current\pipeline.joblib,7.401,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\multilabel\master_multilabel_ready__strict_no_leakage\pipeline.joblib,7.401,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_multilabel_v1_baseline\pipeline.joblib,7.401,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\multilabel\master_multilabel_ready__research_extended\pipeline.joblib,7.305,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\multilabel\master_multilabel_ready__research_extended\pipeline.joblib,7.305,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_elimination_v3_proxy_pruned\calibrated.joblib,6.846,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_elimination_v3_proxy_pruned\calibrated.joblib,6.846,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_adhd_clinical__research_extended\calibrated.joblib,6.823,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_adhd_clinical__research_extended\calibrated.joblib,6.823,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_adhd_minimal__strict_no_leakage\calibrated.joblib,6.567,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_adhd_minimal__strict_no_leakage\calibrated.joblib,6.567,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_elimination_v4_experimental_research\calibrated.joblib,6.459,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_elimination_v4_experimental_research\calibrated.joblib,6.459,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_conduct_clinical__strict_no_leakage\calibrated.joblib,6.235,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_conduct_clinical__strict_no_leakage\calibrated.joblib,6.235,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
data\processed_hybrid_dsm5_v2\final\model_ready\research_extended_exact\dataset_internal_exact_model_ready_research_extended_exact.csv,6.146,duplicate_binary_or_dataset,unknown,yes,review
data\processed_hybrid_dsm5_v2\final\model_ready\research_extended_hybrid\dataset_hybrid_model_ready_research_extended_hybrid.csv,6.146,duplicate_binary_or_dataset,unknown,yes,review
artifacts\versioned_models\rf_elimination_v6_precision_proxy_pruned\calibrated.joblib,6.094,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_elimination_v6_precision_proxy_pruned\calibrated.joblib,6.094,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_elimination_v7_precision_experimental_research\calibrated.joblib,6.03,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_elimination_v7_precision_experimental_research\calibrated.joblib,6.03,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_conduct_clinical__research_extended\calibrated.joblib,5.993,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_conduct_clinical__research_extended\calibrated.joblib,5.993,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_elimination_v2_missingness_augmented\calibrated.joblib,5.896,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_elimination_v2_missingness_augmented\calibrated.joblib,5.896,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_elimination_v5_precision_missingness\calibrated.joblib,5.896,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_elimination_v5_precision_missingness\calibrated.joblib,5.896,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_depression_parent__strict_no_leakage\calibrated.joblib,5.866,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_depression_v1_baseline\calibrated.joblib,5.866,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_depression_parent__strict_no_leakage\calibrated.joblib,5.866,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_depression_v1_baseline\calibrated.joblib,5.866,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_depression_combined__strict_no_leakage\calibrated.joblib,5.849,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_depression_combined__strict_no_leakage\calibrated.joblib,5.849,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_adhd_minimal__research_extended\calibrated.joblib,5.723,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_adhd_minimal__research_extended\calibrated.joblib,5.723,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
data\processed_hybrid_dsm5_v2\final\internal_exact\dataset_internal_exact_model_ready.csv,5.493,duplicate_binary_or_dataset,unknown,yes,review
data\processed_hybrid_dsm5_v2\final\model_ready\strict_no_leakage_exact\dataset_internal_exact_model_ready_strict_no_leakage_exact.csv,5.493,duplicate_binary_or_dataset,unknown,yes,review
data\processed_hybrid_dsm5_v2\final\model_ready\strict_no_leakage_hybrid\dataset_hybrid_model_ready_strict_no_leakage_hybrid.csv,5.493,duplicate_binary_or_dataset,unknown,yes,review
artifacts\models\calibrated\dataset_depression_combined__research_extended\calibrated.joblib,5.447,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_depression_combined__research_extended\calibrated.joblib,5.447,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\calibrated\dataset_depression_parent__research_extended\calibrated.joblib,5.39,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\calibrated\dataset_depression_parent__research_extended\calibrated.joblib,5.39,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\binary\dataset_elimination_items__strict_no_leakage\pipeline.joblib,5.354,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\binary\dataset_elimination_items__strict_no_leakage\pipeline.joblib,5.354,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
data\processed_hybrid_dsm5_v2\final\model_ready\strict_no_leakage_hybrid\dataset_inference_ready_hybrid.csv,5.331,large_file,unknown,review,review
artifacts\models\binary\dataset_elimination_items__research_extended\pipeline.joblib,5.113,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\binary\dataset_elimination_items__research_extended\pipeline.joblib,5.113,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\binary\dataset_anxiety_items__strict_no_leakage\pipeline.joblib,4.993,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\versioned_models\rf_anxiety_v1_baseline\pipeline.joblib,4.993,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\binary\dataset_anxiety_items__strict_no_leakage\pipeline.joblib,4.993,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\champions\rf_anxiety_current\pipeline.joblib,4.993,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\versioned\rf_anxiety_v1_baseline\pipeline.joblib,4.993,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
artifacts\models\binary\dataset_anxiety_items__research_extended\pipeline.joblib,4.821,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
models\binary\dataset_anxiety_items__research_extended\pipeline.joblib,4.821,duplicate_binary_or_dataset;serialized_model_heavy,yes,yes,move_to_external_storage
