domain,module,feature_name,criterion_ref,feature_role,data_type,allowed_values,quantitative_encoding,respondent_preferred,caregiver_askable,psychologist_askable,model_layer,priority,notes
ADHD,core_hyperimpulsive,adhd_hypimp_02_leaves_seat,A2.b,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_03_runs_or_climbs_inappropriately,A2.c,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_04_cannot_play_quietly,A2.d,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_05_driven_by_motor,A2.e,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_06_talks_excessively,A2.f,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_07_blurts_out,A2.g,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_08_difficulty_waiting_turn,A2.h,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,core_hyperimpulsive,adhd_hypimp_09_interrupts_intrudes,A2.i,symptom_item,ordinal_int,"0,1,2,3",0 none;1 subthreshold;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
ADHD,derived,adhd_inattention_symptom_count,A1,derived_count,integer,0-9,count(inattention>=2),system,no,yes,transparent_derived,high,
ADHD,derived,adhd_hyperimpulsive_symptom_count,A2,derived_count,integer,0-9,count(hyperimpulsive>=2),system,no,yes,transparent_derived,high,
ADHD,derived,adhd_inattention_threshold_child,A1,threshold_flag,binary,"0,1",1 if inattention_count>=6,system,no,yes,transparent_derived,high,
ADHD,derived,adhd_hyperimpulsive_threshold_child,A2,threshold_flag,binary,"0,1",1 if hyperimpulsive_count>=6,system,no,yes,transparent_derived,high,
ADHD,history,adhd_onset_before_12,B,history_flag,binary,"0,1",1 if symptoms before age 12,caregiver_or_psychologist,yes,yes,criteria_support,high,
ADHD,context,adhd_context_home,C,context_flag,binary,"0,1",1 if symptoms at home,caregiver_or_psychologist,yes,yes,criteria_support,high,
ADHD,context,adhd_context_school,C,context_flag,binary,"0,1",1 if symptoms at school,caregiver_or_psychologist,yes,yes,criteria_support,high,
ADHD,context,adhd_context_other,C,context_flag,binary,"0,1",1 if symptoms in other setting,caregiver_or_psychologist,yes,yes,criteria_support,medium,
ADHD,derived,adhd_context_count,C,derived_count,integer,0-3,"sum(home,school,other)",system,no,yes,transparent_derived,high,
ADHD,derived,adhd_two_plus_contexts,C,threshold_flag,binary,"0,1",1 if context_count>=2,system,no,yes,transparent_derived,high,
ADHD,impairment,adhd_impairment_home,D,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
ADHD,impairment,adhd_impairment_school,D,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
ADHD,impairment,adhd_impairment_social,D,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
ADHD,derived,adhd_impairment_max,D,derived_count,integer,0-3,"max(home,school,social impairment)",system,no,yes,transparent_derived,high,
ADHD,exclusion,adhd_not_psychosis_exclusive,E,exclusion_flag,binary,"0,1",1 if not exclusively during psychosis,psychologist,no,yes,clinician_gate,high,
ADHD,exclusion,adhd_not_better_explained_other_mental,E,exclusion_flag,binary,"0,1",1 if not better explained by other mental disorder,psychologist,no,yes,clinician_gate,high,
ADHD,derived,adhd_presentation_code,specifier,category_int,integer,"0,1,2,3",0 none;1 inattentive;2 hyperimpulsive;3 combined,system,no,yes,transparent_derived,medium,
ADHD,derived,adhd_final_dsm5_threshold_met,A-E,diagnostic_flag,binary,"0,1",1 if symptom threshold + onset + 2+ contexts + impairment + exclusions,system,no,yes,target_like,high,
Conduct,core_15_symptoms,conduct_01_bullies_threatens_intimidates,A1,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_02_initiates_fights,A2,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_03_weapon_use,A3,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_04_physical_cruelty_people,A4,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_05_physical_cruelty_animals,A5,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_06_steals_confronting_victim,A6,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_07_forced_sex,A7,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_08_fire_setting,A8,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_09_property_destruction,A9,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_10_breaks_into_house_building_car,A10,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_11_lies_to_obtain_or_avoid,A11,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_12_steals_without_confrontation,A12,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_13_stays_out_at_night_before_13,A13,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_14_runs_away_overnight,A14,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,core_15_symptoms,conduct_15_truancy_before_13,A15,symptom_item,ordinal_int,"0,1,2",0 absent;1 present_last12m_not_last6m;2 present_last6m,caregiver_or_psychologist,yes,yes,core_symptom,high,
Conduct,derived,conduct_symptom_count_12m,A,derived_count,integer,0-15,count(items>=1),system,no,yes,transparent_derived,high,
Conduct,derived,conduct_recent_6m_count,A,derived_count,integer,0-15,count(items==2),system,no,yes,transparent_derived,high,
Conduct,derived,conduct_aggression_count,A,derived_count,integer,0-7,count aggression items,system,no,yes,transparent_derived,medium,
Conduct,derived,conduct_destruction_count,A,derived_count,integer,0-2,count destruction items,system,no,yes,transparent_derived,medium,
Conduct,derived,conduct_deceit_theft_count,A,derived_count,integer,0-3,count deceit/theft items,system,no,yes,transparent_derived,medium,
Conduct,derived,conduct_serious_rule_violation_count,A,derived_count,integer,0-3,count rule-violation items,system,no,yes,transparent_derived,medium,
Conduct,derived,conduct_threshold_met,A,threshold_flag,binary,"0,1",1 if >=3 symptoms in 12m and >=1 recent,system,no,yes,transparent_derived,high,
Conduct,history,conduct_onset_before_10,specifier,history_flag,binary,"0,1",1 if first symptom before 10,caregiver_or_psychologist,yes,yes,criteria_support,medium,
Conduct,impairment,conduct_impairment_global,B,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
Conduct,exclusion,conduct_no_antisocial_personality_if_18plus,C,exclusion_flag,binary,"0,1",For age 6-11 default to 1/not_applicable,system,no,yes,clinician_gate,low,Age range makes this nearly constant.
Conduct,limited_prosocial_emotions,conduct_lpe_01_lack_remorse_guilt,specifier_LPE,specifier_item,ordinal_int,"0,1,2",0 none;1 possible;2 persistent clear,caregiver_or_psychologist,yes,yes,specifier,medium,
Conduct,limited_prosocial_emotions,conduct_lpe_02_callous_lack_empathy,specifier_LPE,specifier_item,ordinal_int,"0,1,2",0 none;1 possible;2 persistent clear,caregiver_or_psychologist,yes,yes,specifier,medium,
Conduct,limited_prosocial_emotions,conduct_lpe_03_unconcerned_performance,specifier_LPE,specifier_item,ordinal_int,"0,1,2",0 none;1 possible;2 persistent clear,caregiver_or_psychologist,yes,yes,specifier,medium,
Conduct,limited_prosocial_emotions,conduct_lpe_04_shallow_deficient_affect,specifier_LPE,specifier_item,ordinal_int,"0,1,2",0 none;1 possible;2 persistent clear,caregiver_or_psychologist,yes,yes,specifier,medium,
Conduct,derived,conduct_lpe_count,specifier_LPE,derived_count,integer,0-4,count(LPE>=2),system,no,yes,transparent_derived,medium,
Conduct,derived,conduct_lpe_threshold_met,specifier_LPE,threshold_flag,binary,"0,1",1 if LPE_count>=2,system,no,yes,transparent_derived,medium,
Conduct,derived,conduct_final_dsm5_threshold_met,A-C,diagnostic_flag,binary,"0,1",1 if threshold + impairment + exclusion,system,no,yes,target_like,high,
Elimination,enuresis,enuresis_event_frequency_per_week,enuresis_B,symptom_item,float,0+,weekly average episodes,caregiver_or_psychologist,yes,yes,core_symptom,high,
Elimination,enuresis,enuresis_duration_months_consecutive,enuresis_B,duration_item,integer,0+,consecutive months with episodes,caregiver_or_psychologist,yes,yes,criteria_support,high,
Elimination,enuresis,enuresis_distress_impairment,enuresis_B,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
Elimination,enuresis,enuresis_age_ge_5,enuresis_C,age_gate,binary,"0,1",1 if age>=5,system,no,yes,criteria_support,high,
Elimination,enuresis,enuresis_not_due_substance_medical,enuresis_D,exclusion_flag,binary,"0,1",1 if no substance/medical explanation,psychologist,no,yes,clinician_gate,high,
Elimination,enuresis,enuresis_nocturnal,specifier,specifier_item,binary,"0,1",1 if nocturnal subtype,caregiver_or_psychologist,yes,yes,subtype,medium,
Elimination,enuresis,enuresis_diurnal,specifier,specifier_item,binary,"0,1",1 if diurnal subtype,caregiver_or_psychologist,yes,yes,subtype,medium,
Elimination,enuresis,enuresis_primary_course,course,course_item,binary,"0,1",1 if primary course,caregiver_or_psychologist,yes,yes,course,low,
Elimination,enuresis,enuresis_secondary_course,course,course_item,binary,"0,1",1 if secondary course,caregiver_or_psychologist,yes,yes,course,low,
Elimination,derived,enuresis_threshold_met,enuresis_A-D,diagnostic_flag,binary,"0,1",1 if repeated urination + frequency/impairment + age + exclusion,system,no,yes,target_like,high,
Elimination,encopresis,encopresis_event_frequency_per_month,encopresis_B,symptom_item,float,0+,monthly average episodes,caregiver_or_psychologist,yes,yes,core_symptom,high,
Elimination,encopresis,encopresis_duration_months_consecutive,encopresis_B,duration_item,integer,0+,consecutive months with episodes,caregiver_or_psychologist,yes,yes,criteria_support,high,
Elimination,encopresis,encopresis_age_ge_4,encopresis_C,age_gate,binary,"0,1",1 if age>=4,system,no,yes,criteria_support,high,
Elimination,encopresis,encopresis_not_due_substance_medical,encopresis_D,exclusion_flag,binary,"0,1",1 if no substance/medical explanation except constipation mechanism,psychologist,no,yes,clinician_gate,high,
Elimination,encopresis,encopresis_constipation_present,specifier,specifier_item,binary,"0,1",1 if constipation present,caregiver_or_psychologist,yes,yes,subtype,medium,
Elimination,encopresis,encopresis_overflow_incontinence,specifier,specifier_item,binary,"0,1",1 if overflow incontinence present,psychologist,no,yes,subtype,medium,
Elimination,encopresis,encopresis_visible_deposition_pattern,pattern,pattern_item,ordinal_int,"0,1,2",0 none;1 hidden/intermittent;2 visible/obvious,caregiver_or_psychologist,yes,yes,pattern,low,
Elimination,derived,encopresis_threshold_met,encopresis_A-D,diagnostic_flag,binary,"0,1",1 if repeated feces + frequency + age + exclusion,system,no,yes,target_like,high,
Elimination,derived,elimination_any_threshold_met,domain,diagnostic_flag,binary,"0,1",1 if enuresis or encopresis positive,system,no,yes,domain_target,high,
Elimination,derived,elimination_type_code,domain,category_int,integer,"0,1,2,3",0 none;1 enuresis_only;2 encopresis_only;3 both,system,no,yes,domain_target,medium,
Anxiety,separation_anxiety,sep_anx_01_distress_on_separation,Separation_A1,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,separation_anxiety,sep_anx_02_worry_losing_attachment_figures,Separation_A2,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,separation_anxiety,sep_anx_03_worry_event_causing_separation,Separation_A3,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,separation_anxiety,sep_anx_04_refuses_leaving_home_school,Separation_A4,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,separation_anxiety,sep_anx_05_fear_being_alone_without_attachment,Separation_A5,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,separation_anxiety,sep_anx_06_refuses_sleep_away_or_alone,Separation_A6,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,separation_anxiety,sep_anx_07_separation_nightmares,Separation_A7,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,separation_anxiety,sep_anx_08_physical_complaints_on_separation,Separation_A8,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,derived,sep_anx_symptom_count,Separation_A,derived_count,integer,0-8,count(items>=2),system,no,yes,transparent_derived,high,
Anxiety,separation_anxiety,sep_anx_duration_weeks,Separation_B,duration_item,integer,0+,persistent weeks,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,separation_anxiety,sep_anx_impairment,Separation_C,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,separation_anxiety,sep_anx_not_better_explained,Separation_D,exclusion_flag,binary,"0,1",1 if no better explanation,psychologist,no,yes,clinician_gate,high,
Anxiety,separation_anxiety,sep_anx_threshold_met,Separation_A-D,diagnostic_flag,binary,"0,1",1 if >=3 symptoms + duration + impairment + exclusion,system,no,yes,target_like,high,
Anxiety,social_anxiety,social_anxiety_fear_interactions,Social_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,social_anxiety,social_anxiety_fear_being_observed,Social_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,social_anxiety,social_anxiety_fear_performance,Social_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,social_anxiety,social_anxiety_fear_negative_evaluation,Social_B,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,social_anxiety,social_anxiety_almost_always_triggered,Social_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,social_anxiety,social_anxiety_avoid_or_endure_intense,Social_D,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,social_anxiety,social_anxiety_children_peer_only_flag,Social_A_note,criteria_support,binary,"0,1",1 if also occurs with same-age peers,caregiver_or_psychologist,yes,yes,criteria_support,medium,
Anxiety,social_anxiety,social_anxiety_disproportionate,Social_E,exclusion_flag,binary,"0,1",1 if disproportionate to threat/context,psychologist,no,yes,clinician_gate,medium,
Anxiety,social_anxiety,social_anxiety_duration_months,Social_F,duration_item,integer,0+,months persistent,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,social_anxiety,social_anxiety_impairment,Social_G,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,social_anxiety,social_anxiety_not_due_substance_medical,Social_H,exclusion_flag,binary,"0,1",1 if no substance/medical explanation,psychologist,no,yes,clinician_gate,high,
Anxiety,social_anxiety,social_anxiety_not_better_explained,Social_IJ,exclusion_flag,binary,"0,1",1 if no better explanation,psychologist,no,yes,clinician_gate,high,
Anxiety,social_anxiety,social_anxiety_threshold_met,Social_A-J,diagnostic_flag,binary,"0,1",1 if full social anxiety pattern met,system,no,yes,target_like,high,
Anxiety,generalized_anxiety,gad_excessive_worry_multiple_areas,GAD_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,generalized_anxiety,gad_difficulty_controlling_worry,GAD_B,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Anxiety,generalized_anxiety,gad_assoc_01_restlessness,GAD_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,associated_symptom,high,
Anxiety,generalized_anxiety,gad_assoc_02_fatigue,GAD_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,associated_symptom,high,
Anxiety,generalized_anxiety,gad_assoc_03_concentration_difficulty,GAD_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,associated_symptom,high,
Anxiety,generalized_anxiety,gad_assoc_04_irritability,GAD_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,associated_symptom,high,
Anxiety,generalized_anxiety,gad_assoc_05_muscle_tension,GAD_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,associated_symptom,high,
Anxiety,generalized_anxiety,gad_assoc_06_sleep_problems,GAD_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,associated_symptom,high,
Anxiety,generalized_anxiety,gad_assoc_symptom_count,GAD_C,derived_count,integer,0-6,count(items>=2),system,no,yes,transparent_derived,high,
Anxiety,generalized_anxiety,gad_duration_months,GAD_A,duration_item,integer,0+,months with worry more days than not,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,generalized_anxiety,gad_impairment,GAD_D,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,generalized_anxiety,gad_not_due_substance_medical,GAD_E,exclusion_flag,binary,"0,1",1 if no substance/medical explanation,psychologist,no,yes,clinician_gate,high,
Anxiety,generalized_anxiety,gad_not_better_explained,GAD_F,exclusion_flag,binary,"0,1",1 if no better explanation,psychologist,no,yes,clinician_gate,high,
Anxiety,generalized_anxiety,gad_threshold_met_child,GAD_A-F,diagnostic_flag,binary,"0,1",1 if child GAD pattern met,system,no,yes,target_like,high,
Anxiety,agoraphobia,agor_fear_01_public_transport,Agor_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,medium,
Anxiety,agoraphobia,agor_fear_02_open_spaces,Agor_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,medium,
Anxiety,agoraphobia,agor_fear_03_enclosed_spaces,Agor_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,medium,
Anxiety,agoraphobia,agor_fear_04_crowds_queues,Agor_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,medium,
Anxiety,agoraphobia,agor_fear_05_outside_home_alone,Agor_A,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,medium,
Anxiety,agoraphobia,agor_situation_count,Agor_A,derived_count,integer,0-5,count(situations>=2),system,no,yes,transparent_derived,high,
Anxiety,agoraphobia,agor_escape_help_cognition,Agor_B,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_cognition,high,
Anxiety,agoraphobia,agor_almost_always_triggered,Agor_C,symptom_item,ordinal_int,"0,1,2,3",0 none;1 sometimes;2 usually;3 almost always,caregiver_or_psychologist,yes,yes,criteria_support,medium,
Anxiety,agoraphobia,agor_avoid_or_need_companion,Agor_D,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,agoraphobia,agor_disproportionate,Agor_E,exclusion_flag,binary,"0,1",1 if disproportionate,psychologist,no,yes,clinician_gate,medium,
Anxiety,agoraphobia,agor_duration_months,Agor_F,duration_item,integer,0+,months persistent,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,agoraphobia,agor_impairment,Agor_G,impairment_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 moderate;3 marked,caregiver_or_psychologist,yes,yes,criteria_support,high,
Anxiety,agoraphobia,agor_not_excessive_due_medical,Agor_H,exclusion_flag,binary,"0,1",1 if no realistic medical explanation,psychologist,no,yes,clinician_gate,medium,
Anxiety,agoraphobia,agor_not_better_explained,Agor_I,exclusion_flag,binary,"0,1",1 if no better explanation,psychologist,no,yes,clinician_gate,high,
Anxiety,agoraphobia,agor_threshold_met,Agor_A-I,diagnostic_flag,binary,"0,1",1 if agoraphobia pattern met,system,no,yes,target_like,high,
Anxiety,derived,anxiety_any_module_threshold_met,domain,diagnostic_flag,binary,"0,1",1 if any anxiety module positive,system,no,yes,domain_target,high,
Anxiety,derived,anxiety_module_count_positive,domain,derived_count,integer,0-4,count positive modules,system,no,yes,domain_target,medium,
Depression,major_depressive_episode,mdd_01_depressed_or_irritable_mood,MDD_A1,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Depression,major_depressive_episode,mdd_02_loss_of_interest_or_pleasure,MDD_A2,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Depression,major_depressive_episode,mdd_03_weight_or_appetite_change,MDD_A3,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Depression,major_depressive_episode,mdd_04_sleep_change,MDD_A4,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Depression,major_depressive_episode,mdd_05_psychomotor_change,MDD_A5,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Depression,major_depressive_episode,mdd_06_fatigue_or_low_energy,MDD_A6,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
Depression,major_depressive_episode,mdd_07_worthlessness_or_excessive_guilt,MDD_A7,symptom_item,ordinal_int,"0,1,2,3",0 none;1 mild;2 present;3 marked,caregiver_or_psychologist,yes,yes,core_symptom,high,
