input_key,source_type,pre_v7_exact_match,post_v8_exact_match
cbcl_105,caregiver_report,1.0,1.0
cbcl_106,caregiver_report,1.0,1.0
cbcl_107,caregiver_report,1.0,1.0
cbcl_108,caregiver_report,1.0,1.0
cbcl_109,caregiver_report,1.0,1.0
cbcl_110,caregiver_report,1.0,1.0
cbcl_111,caregiver_report,1.0,1.0
cbcl_112,caregiver_report,1.0,1.0
cbcl_113,caregiver_report,1.0,1.0
cbcl_114,caregiver_report,1.0,1.0
cbcl_115,caregiver_report,1.0,1.0
cbcl_116,caregiver_report,1.0,1.0
cbcl_117,caregiver_report,1.0,1.0
cbcl_118,caregiver_report,1.0,1.0
cbcl_aggressive_behavior_proxy,derived,1.0,1.0
cbcl_anxious_depressed_proxy,derived,1.0,1.0
cbcl_attention_problems_proxy,derived,1.0,1.0
cbcl_externalizing_proxy,derived,1.0,1.0
cbcl_internalizing_proxy,derived,1.0,1.0
cbcl_rule_breaking_proxy,derived,1.0,1.0
conners_cognitive_problems,child_self_report,1.0,1.0
conners_conduct_problems,child_self_report,1.0,1.0
conners_hyperactivity,child_self_report,1.0,1.0
conners_total,child_self_report,0.0258333333333333,1.0
has_ari_p,caregiver_report,0.9583333333333334,1.0
has_ari_sr,caregiver_report,0.9566666666666668,1.0
has_cbcl,caregiver_report,0.9716666666666668,1.0
has_conners,caregiver_report,0.0258333333333333,1.0
has_icut,caregiver_report,0.9566666666666668,1.0
has_scared_p,caregiver_report,0.725,1.0
has_scared_sr,caregiver_report,0.7308333333333333,1.0
has_sdq,caregiver_report,0.9333333333333332,1.0
has_swan,caregiver_report,0.9533333333333334,1.0
has_ysr,caregiver_report,0.0266666666666666,1.0
icut_total,derived,0.9566666666666668,1.0
mfq_p_total,derived,0.7241666666666666,1.0
release,system_filled,1.0,1.0
scared_p_01,caregiver_report,1.0,1.0
scared_p_02,caregiver_report,1.0,1.0
scared_p_03,caregiver_report,1.0,1.0
scared_p_04,caregiver_report,1.0,1.0
scared_p_05,caregiver_report,1.0,1.0
scared_p_06,caregiver_report,1.0,1.0
scared_p_07,caregiver_report,1.0,1.0
scared_p_08,caregiver_report,1.0,1.0
scared_p_09,caregiver_report,1.0,1.0
scared_p_10,caregiver_report,1.0,1.0
scared_p_11,caregiver_report,1.0,1.0
scared_p_12,caregiver_report,1.0,1.0
scared_p_13,caregiver_report,1.0,1.0
scared_p_14,caregiver_report,1.0,1.0
scared_p_15,caregiver_report,1.0,1.0
scared_p_16,caregiver_report,1.0,1.0
scared_p_17,caregiver_report,1.0,1.0
scared_p_18,caregiver_report,1.0,1.0
scared_p_19,caregiver_report,1.0,1.0
scared_p_20,caregiver_report,1.0,1.0
scared_p_21,caregiver_report,1.0,1.0
scared_p_22,caregiver_report,1.0,1.0
scared_p_23,caregiver_report,1.0,1.0
scared_p_24,caregiver_report,1.0,1.0
scared_p_25,caregiver_report,1.0,1.0
scared_p_26,caregiver_report,1.0,1.0
scared_p_27,caregiver_report,1.0,1.0
scared_p_28,caregiver_report,1.0,1.0
scared_p_29,caregiver_report,1.0,1.0
scared_p_30,caregiver_report,1.0,1.0
scared_p_31,caregiver_report,1.0,1.0
scared_p_32,caregiver_report,1.0,1.0
scared_p_33,caregiver_report,1.0,1.0
scared_p_34,caregiver_report,1.0,1.0
scared_p_35,caregiver_report,1.0,1.0
scared_p_36,caregiver_report,1.0,1.0
scared_p_37,caregiver_report,1.0,1.0
scared_p_38,caregiver_report,1.0,1.0
scared_p_39,caregiver_report,1.0,1.0
scared_p_40,caregiver_report,1.0,1.0
scared_p_41,caregiver_report,1.0,1.0
scared_p_generalized_anxiety,derived,1.0,1.0
scared_p_panic_somatic,derived,1.0,1.0
scared_p_possible_anxiety_disorder_cut25,derived,1.0,1.0
scared_p_school_avoidance,derived,1.0,1.0
scared_p_separation_anxiety,derived,1.0,1.0
scared_p_social_anxiety,derived,1.0,1.0
scared_p_total,derived,0.725,1.0
scared_sr_01,child_self_report,1.0,1.0
scared_sr_02,child_self_report,1.0,1.0
scared_sr_03,child_self_report,1.0,1.0
scared_sr_04,child_self_report,1.0,1.0
scared_sr_05,child_self_report,1.0,1.0
scared_sr_06,child_self_report,1.0,1.0
scared_sr_07,child_self_report,1.0,1.0
scared_sr_08,child_self_report,1.0,1.0
scared_sr_09,child_self_report,1.0,1.0
scared_sr_10,child_self_report,1.0,1.0
scared_sr_11,child_self_report,1.0,1.0
scared_sr_12,child_self_report,1.0,1.0
scared_sr_13,child_self_report,1.0,1.0
scared_sr_14,child_self_report,1.0,1.0
scared_sr_15,child_self_report,1.0,1.0
scared_sr_16,child_self_report,1.0,1.0
scared_sr_17,child_self_report,1.0,1.0
scared_sr_18,child_self_report,1.0,1.0
scared_sr_19,child_self_report,1.0,1.0
scared_sr_20,child_self_report,1.0,1.0
scared_sr_21,child_self_report,1.0,1.0
scared_sr_22,child_self_report,1.0,1.0
scared_sr_23,child_self_report,1.0,1.0
scared_sr_24,child_self_report,1.0,1.0
scared_sr_25,child_self_report,1.0,1.0
scared_sr_26,child_self_report,1.0,1.0
scared_sr_27,child_self_report,1.0,1.0
scared_sr_28,child_self_report,1.0,1.0
scared_sr_29,child_self_report,1.0,1.0
scared_sr_30,child_self_report,1.0,1.0
scared_sr_31,child_self_report,1.0,1.0
scared_sr_32,child_self_report,1.0,1.0
scared_sr_33,child_self_report,1.0,1.0
scared_sr_34,child_self_report,1.0,1.0
scared_sr_35,child_self_report,1.0,1.0
scared_sr_36,child_self_report,1.0,1.0
scared_sr_37,child_self_report,1.0,1.0
scared_sr_38,child_self_report,1.0,1.0
scared_sr_39,child_self_report,1.0,1.0
scared_sr_40,child_self_report,1.0,1.0
scared_sr_41,child_self_report,1.0,1.0
scared_sr_generalized_anxiety,child_self_report,1.0,1.0
scared_sr_panic_somatic,child_self_report,1.0,1.0
scared_sr_possible_anxiety_disorder_cut25,child_self_report,1.0,1.0
scared_sr_school_avoidance,child_self_report,1.0,1.0
scared_sr_separation_anxiety,child_self_report,1.0,1.0
scared_sr_social_anxiety,child_self_report,1.0,1.0
scared_sr_total,child_self_report,0.7308333333333333,1.0
sdq_01,caregiver_report,1.0,1.0
sdq_02,caregiver_report,1.0,1.0
sdq_03,caregiver_report,1.0,1.0
sdq_04,caregiver_report,1.0,1.0
sdq_05,caregiver_report,1.0,1.0
sdq_06,caregiver_report,1.0,1.0
sdq_07,caregiver_report,1.0,1.0
sdq_08,caregiver_report,1.0,1.0
sdq_09,caregiver_report,1.0,1.0
sdq_10,caregiver_report,1.0,1.0
sdq_11,caregiver_report,1.0,1.0
sdq_12,caregiver_report,1.0,1.0
sdq_13,caregiver_report,1.0,1.0
sdq_14,caregiver_report,1.0,1.0
sdq_15,caregiver_report,1.0,1.0
sdq_16,caregiver_report,1.0,1.0
sdq_17,caregiver_report,1.0,1.0
sdq_18,caregiver_report,1.0,1.0
sdq_19,caregiver_report,1.0,1.0
sdq_20,caregiver_report,1.0,1.0
sdq_21,caregiver_report,1.0,1.0
sdq_22,caregiver_report,1.0,1.0
sdq_23,caregiver_report,1.0,1.0
sdq_24,caregiver_report,1.0,1.0
sdq_25,caregiver_report,1.0,1.0
sdq_conduct_problems,caregiver_report,1.0,1.0
sdq_emotional_symptoms,caregiver_report,1.0,1.0
sdq_hyperactivity_inattention,caregiver_report,1.0,1.0
sdq_impact,caregiver_report,1.0,1.0
sdq_peer_problems,caregiver_report,1.0,1.0
sdq_prosocial_behavior,caregiver_report,1.0,1.0
sdq_total_difficulties,caregiver_report,1.0,1.0
sex_assigned_at_birth,caregiver_report,1.0,1.0
site,system_filled,1.0,1.0
swan_hyperactive_impulsive_total,derived,1.0,1.0
swan_inattention_total,derived,1.0,1.0
swan_total,derived,0.9533333333333334,1.0
ysr_aggressive_behavior_proxy,child_self_report,1.0,1.0
ysr_anxious_depressed_proxy,child_self_report,1.0,1.0
ysr_attention_problems_proxy,child_self_report,1.0,1.0
ysr_externalizing_proxy,child_self_report,1.0,1.0
ysr_internalizing_proxy,child_self_report,1.0,1.0
ysr_rule_breaking_proxy,child_self_report,1.0,1.0
