mode,feature_set_name,n_features,included_features_preview,excluded_features_preview,clinical_technical_rationale,methodological_risk,maintenance_cost
psychologist,baseline_current,20,age_years|sex_assigned_at_birth|site|release|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_total_difficulties|scared_sr_total|ari_sr_symptom_total|ysr_internalizing_proxy,,Current champion reference with minimal extension for psychologist.,low_to_medium,low
psychologist,burden_composites,50,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,,Adds burden composites for ranking quality.,low_to_medium,high
psychologist,compact_clinical_engineered,25,age_years|sex_assigned_at_birth|site|release|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|cbcl_internalizing_proxy|cbcl_externalizing_proxy|scared_p_total|ari_p_symptom_total|conners_total|swan_total|v11_core_sum|v11_core_mean|v11_core_balance_diff|v11_parent_nonmissing_ratio|v11_parent_source_count|v11_parent_impact_combo|v11_context_cross_domain_parent|v11_missingness_regime|ysr_internalizing_proxy|scared_sr_total|v11_cross_source_agreement,,Compact clinically grounded engineered feature space.,low,low
psychologist,context_comorbidity_aware,50,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,,Adds cross-domain context burdens without target leaks.,medium,high
psychologist,hybrid_engineered_best_effort,72,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,,Union set to maximize recoverable signal before ceiling decision.,medium,high
psychologist,impact_focused,50,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,,Prioritizes impact and impairment signals.,low_to_medium,high
psychologist,missingness_aware,50,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,,Adds explicit coverage and missingness regime.,low,high
psychologist,proxy_pruned,15,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|sdq_total_difficulties|v11_core_sum|v11_core_mean|v11_core_missing_count|v11_parent_nonmissing_ratio,,Prunes broad proxies; focuses on elimination core and impact.,low,low
psychologist,source_semantics_aware,56,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,,Adds source mix / agreement semantics.,low_to_medium,high
psychologist,subtype_aware,50,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_total_difficulties|sdq_impact|conners_total,,Introduces enuresis/encopresis-aware representation.,low_to_medium,high
