questionnaire_item_id,diagnostic_unit,external_domain,parameter_name,dsm_block,question_text,response_type,allowed_values,temporal_reference,context_reference,impairment_reference,exclusion_reference,severity_reference,requiredness,direct_or_proxy_for_normative_parameter,notes,row_id_from_normative_csv,unit_key
QI_0011,TRANSVERSAL,TRANSVERSAL,diagnostic_domain,Identificación,Dominio externo de presentación del producto,categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=normative_only,11,transversal
QI_0012,TRANSVERSAL,TRANSVERSAL,age_at_assessment,Cronología,Edad cronológica al momento de la evaluación,categorical,"none,low,moderate,high,unknown",,,,,,optional,direct,mapping_status=direct; evidence_type=demographic,12,transversal
QI_0013,TRANSVERSAL,TRANSVERSAL,age_at_onset,Cronología,Edad al inicio de síntomas o del primer criterio observable,categorical,"none,low,moderate,high,unknown",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,13,transversal
QI_0014,TRANSVERSAL,TRANSVERSAL,duration_minimum,Temporalidad,Duración mínima exigida por el criterio DSM-5 aplicable,integer,0..999,"Debe almacenarse en meses, semanas o años según el criterio",,,,,optional,direct,mapping_status=absent; evidence_type=absent,14,transversal
QI_0015,TRANSVERSAL,TRANSVERSAL,symptom_frequency,Temporalidad,Frecuencia mínima exigida por el criterio DSM-5 aplicable,integer,0..999,,,,,,optional,direct,mapping_status=absent; evidence_type=absent,15,transversal
QI_0016,TRANSVERSAL,TRANSVERSAL,persistence_rule,Temporalidad,Regla de persistencia o continuidad sin intervalos mayores al máximo permitido,boolean,"0,1",Debe validar ausencia de intervalos libres mayores al límite DSM-5,,,,,optional,direct,mapping_status=absent; evidence_type=absent,16,transversal
QI_0017,TRANSVERSAL,TRANSVERSAL,contexts_present,Contexto,Número y tipo de contextos en los que se observan los síntomas,boolean,"0,1",,"Debe registrar casa, escuela, pares, trabajo u otros contextos exigidos",,,,optional,direct,mapping_status=absent; evidence_type=absent,17,transversal
QI_0018,TRANSVERSAL,TRANSVERSAL,cross_setting_severity,Contexto,Severidad por contexto cuando el DSM-5 exige presencia en dos o más ambientes,categorical,"none,low,moderate,high,unknown",,Debe distinguir presencia y gravedad por entorno,,,Debe distinguir presencia y gravedad por entorno,optional,direct,mapping_status=absent; evidence_type=absent,18,transversal
QI_0019,TRANSVERSAL,TRANSVERSAL,functional_impairment,Funcionamiento,Malestar clínicamente significativo o deterioro funcional requerido,boolean,"0,1",,,Debe registrar existencia y área funcional afectada,,,optional,proxy,mapping_status=proxy; evidence_type=questionnaire,19,transversal
QI_0020,TRANSVERSAL,TRANSVERSAL,substance_medical_exclusion,Exclusiones,"Descarta atribución a sustancias, medicamentos o afección médica",boolean,"0,1",,,,Debe existir como gate obligatorio cuando el DSM-5 lo exige,,optional,direct,mapping_status=absent; evidence_type=absent,20,transversal
QI_0021,TRANSVERSAL,TRANSVERSAL,other_mental_disorder_exclusion,Exclusiones,Descarta mejor explicación por otro trastorno mental,boolean,"0,1",,,,Debe registrar diagnóstico excluyente cuando aplique,,optional,direct,mapping_status=absent; evidence_type=absent,21,transversal
QI_0022,TRANSVERSAL,TRANSVERSAL,diagnostic_coexistence_rule,Comorbilidad,Regla de coexistencia permitida o prohibida con otros diagnósticos,categorical,"none,low,moderate,high,unknown",,,,Debe distinguir comorbilidad permitida y coexistencia prohibida,,optional,proxy,mapping_status=derived; evidence_type=derived,22,transversal
QI_0023,TRANSVERSAL,TRANSVERSAL,subjective_report,Evidencia,Información subjetiva del propio niño o adolescente cuando el criterio lo contempla,boolean,"0,1",,,,,,optional,proxy,mapping_status=derived; evidence_type=availability,23,transversal
QI_0024,TRANSVERSAL,TRANSVERSAL,observer_report,Evidencia,"Observación por terceros, historia clínica o informantes significativos",categorical,"none,low,moderate,high,unknown",,,,,,optional,proxy,mapping_status=derived; evidence_type=availability,24,transversal
QI_0025,TRANSVERSAL,TRANSVERSAL,specifier_set,Salida,Especificadores aplicables al diagnóstico,categorical,"none,low,moderate,high,unknown",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,25,transversal
QI_0026,TRANSVERSAL,TRANSVERSAL,severity_current,Salida,Gravedad actual cuando el DSM-5 la especifica,categorical,"none,low,moderate,high,unknown",,,,,Debe preservarse como variable independiente,optional,proxy,mapping_status=derived; evidence_type=questionnaire,26,transversal
QI_0027,TRANSVERSAL,TRANSVERSAL,remission_status,Salida,Remisión parcial o total cuando el DSM-5 la especifica,categorical,"none,low,moderate,high,unknown",,,,,,optional,direct,mapping_status=absent; evidence_type=absent,27,transversal
QI_0028,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_GATE_A,Criterio A,Patrón persistente de inatención y/o hiperactividad-impulsividad que interfiere con el funcionamiento o el desarrollo,boolean,"0,1",,,Debe cumplirse A1 y/o A2,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,28,adhd
QI_0029,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_THRESHOLD,A1,Seis o más síntomas de inatención durante al menos 6 meses; cinco o más si la edad es 17 años o más,categorical,"none,low,moderate,high,unknown",Umbral de conteo sintomático por grupo etario,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,29,adhd
QI_0030,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_THRESHOLD,A2,Seis o más síntomas de hiperactividad-impulsividad durante al menos 6 meses; cinco o más si la edad es 17 años o más,categorical,"none,low,moderate,high,unknown",Umbral de conteo sintomático por grupo etario,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,30,adhd
QI_0031,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_ONSET_BEFORE_12,B,Algunos síntomas presentes antes de los 12 años,boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,31,adhd
QI_0032,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_MULTICONTEXT,C,Varios síntomas presentes en dos o más contextos,categorical,"none,low,moderate,high,unknown",,Gate obligatorio,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,32,adhd
QI_0033,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_IMPAIRMENT,D,"Pruebas claras de interferencia o reducción de la calidad del funcionamiento social, académico o laboral",boolean,"0,1",,,Gate obligatorio,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,33,adhd
QI_0034,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_EXCLUSION,E,No ocurre exclusivamente durante esquizofrenia u otro trastorno psicótico y no se explica mejor por otro trastorno mental,boolean,"0,1",,,,Gate obligatorio,,required,direct,mapping_status=absent; evidence_type=absent,34,adhd
QI_0035,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_PRESENTATION,Especificador,"Presentación combinada, predominio de inatención o predominio hiperactivo/impulsivo",boolean,"0,1",,,,,,required,proxy,mapping_status=derived; evidence_type=questionnaire,35,adhd
QI_0036,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_PARTIAL_REMISSION,Especificador,"Remisión parcial cuando antes se cumplían todos los criterios y en los últimos 6 meses no se cumplen todos, pero persiste deterioro",boolean,"0,1",Se codifica por separado,,Se codifica por separado,,,required,direct,mapping_status=absent; evidence_type=absent,36,adhd
QI_0037,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_SEVERITY,Gravedad actual,"Leve, moderado o grave",categorical,"none,low,moderate,high,unknown",,,,,Se codifica por separado,required,proxy,mapping_status=derived; evidence_type=questionnaire,37,adhd
QI_0038,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_a,A1.a,Falla en prestar atención a detalles o comete errores por descuido,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,38,adhd
QI_0039,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_b,A1.b,Dificultad para mantener la atención en tareas o actividades recreativas,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,39,adhd
QI_0040,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_c,A1.c,Parece no escuchar cuando se le habla directamente,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,40,adhd
QI_0041,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_d,A1.d,"No sigue instrucciones y no termina tareas escolares, quehaceres o deberes",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,41,adhd
QI_0042,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_e,A1.e,Tiene dificultad para organizar tareas y actividades,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,42,adhd
QI_0043,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_f,A1.f,"Evita, le disgusta o se muestra poco entusiasta ante tareas de esfuerzo mental sostenido",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,43,adhd
QI_0044,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_g,A1.g,Pierde cosas necesarias para tareas o actividades,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,44,adhd
QI_0045,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_h,A1.h,Se distrae con facilidad por estímulos externos o pensamientos no relacionados,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,45,adhd
QI_0046,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_i,A1.i,Olvida actividades cotidianas,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,46,adhd
QI_0047,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_a,A2.a,"Juguetea, golpea manos o pies o se retuerce en el asiento",boolean,"0,1",Debe permitir conteo para el umbral diagnóstico,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,47,adhd
QI_0048,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_b,A2.b,Se levanta cuando debería permanecer sentado,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,48,adhd
QI_0049,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_c,A2.c,Corretea o trepa cuando no resulta apropiado,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,49,adhd
QI_0050,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_d,A2.d,Es incapaz de jugar o de ocuparse tranquilamente en actividades recreativas,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,50,adhd
QI_0051,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_e,A2.e,Actúa como si estuviera impulsado por un motor,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,51,adhd
QI_0052,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_f,A2.f,Habla excesivamente,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,52,adhd
QI_0053,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_g,A2.g,Responde inesperadamente o antes de que se concluya la pregunta,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,53,adhd
QI_0054,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_h,A2.h,Le es difícil esperar su turno,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,54,adhd
QI_0055,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_i,A2.i,Interrumpe o se inmiscuye con otros,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,55,adhd
QI_0056,Trastorno de conducta,Conducta,CD_GATE_A,Criterio A,"Patrón repetitivo y persistente de comportamiento que vulnera derechos básicos, normas o reglas sociales",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,56,conduct_disorder
QI_0057,Trastorno de conducta,Conducta,CD_THRESHOLD,A,Tres o más de quince criterios en los últimos 12 meses y al menos uno en los últimos 6 meses,categorical,"none,low,moderate,high,unknown",Umbral diagnóstico obligatorio,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,57,conduct_disorder
QI_0058,Trastorno de conducta,Conducta,CD_IMPAIRMENT,B,"Malestar clínicamente significativo en el funcionamiento social, académico o laboral",boolean,"0,1",,,Gate obligatorio,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,58,conduct_disorder
QI_0059,Trastorno de conducta,Conducta,CD_ASPD_EXCLUSION,C,"Si la edad es 18 años o más, no se cumplen criterios de trastorno de la personalidad antisocial",boolean,"0,1",,,,Gate obligatorio,,required,direct,mapping_status=absent; evidence_type=absent,59,conduct_disorder
QI_0060,Trastorno de conducta,Conducta,CD_ONSET_TYPE,Especificador,"Tipo de inicio infantil, adolescente o no especificado",categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,60,conduct_disorder
QI_0061,Trastorno de conducta,Conducta,CD_LIMITED_PROSOCIAL,Especificador,Con emociones prosociales limitadas si se observan al menos dos rasgos durante 12 meses en diversas relaciones y situaciones,boolean,"0,1",Requiere múltiples fuentes,,,,,required,proxy,mapping_status=derived; evidence_type=questionnaire,61,conduct_disorder
QI_0062,Trastorno de conducta,Conducta,CD_SEVERITY,Gravedad actual,"Leve, moderado o grave",categorical,"none,low,moderate,high,unknown",,,,,Se codifica por separado,required,proxy,mapping_status=derived; evidence_type=questionnaire,62,conduct_disorder
QI_0063,Trastorno de conducta,Conducta,CD_1,Agresión 1,"A menudo acosa, amenaza o intimida a otros",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,63,conduct_disorder
QI_0064,Trastorno de conducta,Conducta,CD_2,Agresión 2,A menudo inicia peleas,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,64,conduct_disorder
QI_0065,Trastorno de conducta,Conducta,CD_3,Agresión 3,Ha usado un arma que puede provocar serios daños a terceros,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,65,conduct_disorder
QI_0066,Trastorno de conducta,Conducta,CD_4,Agresión 4,Ha ejercido crueldad física contra personas,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,66,conduct_disorder
QI_0067,Trastorno de conducta,Conducta,CD_5,Agresión 5,Ha ejercido crueldad física contra animales,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,67,conduct_disorder
QI_0068,Trastorno de conducta,Conducta,CD_6,Agresión 6,Ha robado enfrentándose a una víctima,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,68,conduct_disorder
QI_0069,Trastorno de conducta,Conducta,CD_7,Agresión 7,Ha violado sexualmente a alguien,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,69,conduct_disorder
QI_0070,Trastorno de conducta,Conducta,CD_8,Propiedad 1,Ha prendido fuego deliberadamente con intención de provocar daños graves,boolean,"0,1",,,,,Debe permitir conteo para el umbral diagnóstico,required,proxy,mapping_status=proxy; evidence_type=questionnaire,70,conduct_disorder
QI_0071,Trastorno de conducta,Conducta,CD_9,Propiedad 2,Ha destruido deliberadamente la propiedad de alguien sin usar fuego,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,71,conduct_disorder
QI_0072,Trastorno de conducta,Conducta,CD_10,Engaño/Robo 1,"Ha invadido la casa, edificio o automóvil de alguien",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,72,conduct_disorder
QI_0073,Trastorno de conducta,Conducta,CD_11,Engaño/Robo 2,A menudo miente para obtener objetos o favores o para evitar obligaciones,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,73,conduct_disorder
QI_0074,Trastorno de conducta,Conducta,CD_12,Engaño/Robo 3,Ha robado objetos de cierto valor sin enfrentarse a la víctima,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,74,conduct_disorder
QI_0075,Trastorno de conducta,Conducta,CD_13,Normas 1,"A menudo sale por la noche pese a la prohibición parental, con inicio antes de los 13 años",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,75,conduct_disorder
QI_0076,Trastorno de conducta,Conducta,CD_14,Normas 2,Ha pasado una noche fuera de casa sin permiso al menos dos veces o una vez prolongada,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,76,conduct_disorder
QI_0077,Trastorno de conducta,Conducta,CD_15,Normas 3,"A menudo falta en la escuela, con inicio antes de los 13 años",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,77,conduct_disorder
QI_0078,Trastorno de conducta,Conducta,CD_LPE_1,Emociones prosociales limitadas,Falta de remordimientos o culpabilidad,boolean,"0,1",,,,,,optional,proxy,mapping_status=proxy; evidence_type=questionnaire,78,conduct_disorder
QI_0079,Trastorno de conducta,Conducta,CD_LPE_2,Emociones prosociales limitadas,Insensible o carente de empatía,boolean,"0,1",,,,,,optional,proxy,mapping_status=proxy; evidence_type=questionnaire,79,conduct_disorder
QI_0080,Trastorno de conducta,Conducta,CD_LPE_3,Emociones prosociales limitadas,Despreocupado por su rendimiento,boolean,"0,1",,,,,,optional,proxy,mapping_status=proxy; evidence_type=questionnaire,80,conduct_disorder
QI_0081,Trastorno de conducta,Conducta,CD_LPE_4,Emociones prosociales limitadas,Afecto superficial o deficiente,boolean,"0,1",,,,,,optional,proxy,mapping_status=proxy; evidence_type=questionnaire,81,conduct_disorder
QI_0082,Enuresis,Eliminación,ENUR_A,A,"Emisión repetida de orina en la cama o en la ropa, voluntaria o involuntaria",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,82,enuresis
QI_0083,Enuresis,Eliminación,ENUR_B,B,"Frecuencia de al menos 2 veces por semana durante 3 meses consecutivos o, alternativamente, malestar clínicamente significativo o deterioro funcional",boolean,"0,1",Gate obligatorio,,Gate obligatorio,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,83,enuresis
QI_0084,Enuresis,Eliminación,ENUR_C,C,Edad cronológica de al menos 5 años o grado de desarrollo equivalente,categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=direct; evidence_type=demographic,84,enuresis
QI_0085,Enuresis,Eliminación,ENUR_D,D,No atribuible a sustancia ni a afección médica relevante,boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,85,enuresis
QI_0086,Enuresis,Eliminación,ENUR_SUBTYPE,Especificador,"Sólo nocturna, sólo diurna o nocturna y diurna",categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,86,enuresis
QI_0087,Encopresis,Eliminación,ENC_A,A,"Excreción repetida de heces en lugares inapropiados, voluntaria o involuntaria",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,87,encopresis
QI_0088,Encopresis,Eliminación,ENC_B,B,Al menos un episodio por mes durante un mínimo de 3 meses,categorical,"none,low,moderate,high,unknown",Gate obligatorio,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,88,encopresis
QI_0089,Encopresis,Eliminación,ENC_C,C,Edad cronológica de al menos 4 años o grado de desarrollo equivalente,categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=direct; evidence_type=demographic,89,encopresis
QI_0090,Encopresis,Eliminación,ENC_D,D,"No atribuible a sustancia ni a afección médica, salvo mecanismo relacionado con estreñimiento",boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,90,encopresis
QI_0091,Encopresis,Eliminación,ENC_SUBTYPE,Especificador,Con estreñimiento e incontinencia por desbordamiento o sin estreñimiento e incontinencia por desbordamiento,categorical,"none,low,moderate,high,unknown",,,,,,required,direct,mapping_status=absent; evidence_type=absent,91,encopresis
QI_0092,Trastorno de ansiedad por separación,Ansiedad,SAD_A_THRESHOLD,A,"Miedo o ansiedad excesiva e inapropiada respecto de la separación, con al menos tres de ocho circunstancias",categorical,"none,low,moderate,high,unknown",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,92,separation_anxiety_disorder
QI_0093,Trastorno de ansiedad por separación,Ansiedad,SAD_B,B,Persistencia de al menos 4 semanas en niños y adolescentes,categorical,"none,low,moderate,high,unknown",Gate obligatorio,,,,,required,direct,mapping_status=absent; evidence_type=absent,93,separation_anxiety_disorder
QI_0094,Trastorno de ansiedad por separación,Ansiedad,SAD_C,C,Malestar clínicamente significativo o deterioro funcional,boolean,"0,1",,,Gate obligatorio,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,94,separation_anxiety_disorder
QI_0095,Trastorno de ansiedad por separación,Ansiedad,SAD_D,D,No se explica mejor por otro trastorno mental,boolean,"0,1",,,,Gate obligatorio,,required,direct,mapping_status=absent; evidence_type=absent,95,separation_anxiety_disorder
QI_0096,Trastorno de ansiedad por separación,Ansiedad,SAD_1,A.1,Malestar excesivo y recurrente cuando se prevé o se vive la separación del hogar o de las figuras de mayor apego,boolean,"0,1",,,Debe permitir conteo para el umbral diagnóstico,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,96,separation_anxiety_disorder
QI_0097,Trastorno de ansiedad por separación,Ansiedad,SAD_2,A.2,Preocupación excesiva y persistente por la posible pérdida o daño de las figuras de mayor apego,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,97,separation_anxiety_disorder
QI_0098,Trastorno de ansiedad por separación,Ansiedad,SAD_3,A.3,Preocupación excesiva y persistente por un acontecimiento adverso que cause la separación,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,98,separation_anxiety_disorder
QI_0099,Trastorno de ansiedad por separación,Ansiedad,SAD_4,A.4,"Resistencia o rechazo persistente a salir lejos de casa, a la escuela, al trabajo o a otro lugar por miedo a la separación",boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,99,separation_anxiety_disorder
QI_0100,Trastorno de ansiedad por separación,Ansiedad,SAD_5,A.5,Miedo excesivo o resistencia persistente a estar solo o sin las figuras de mayor apego,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,100,separation_anxiety_disorder
QI_0101,Trastorno de ansiedad por separación,Ansiedad,SAD_6,A.6,Resistencia o rechazo persistente a dormir fuera de casa o sin estar cerca de una figura de apego,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,101,separation_anxiety_disorder
QI_0102,Trastorno de ansiedad por separación,Ansiedad,SAD_7,A.7,Pesadillas repetidas sobre el tema de la separación,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,102,separation_anxiety_disorder
QI_0103,Trastorno de ansiedad por separación,Ansiedad,SAD_8,A.8,Quejas repetidas de síntomas físicos cuando se produce o se prevé la separación,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,103,separation_anxiety_disorder
QI_0104,Trastorno de ansiedad generalizada,Ansiedad,GAD_A,A,Ansiedad y preocupación excesiva durante más días de los que ha estado ausente por un mínimo de 6 meses en relación con diversos sucesos o actividades,boolean,"0,1",Gate principal,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,104,generalized_anxiety_disorder
QI_0105,Trastorno de ansiedad generalizada,Ansiedad,GAD_B,B,Dificultad para controlar la preocupación,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,105,generalized_anxiety_disorder
QI_0106,Trastorno de ansiedad generalizada,Ansiedad,GAD_C_THRESHOLD,C,Tres o más de seis síntomas asociados; en niños basta un ítem,categorical,"none,low,moderate,high,unknown",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,106,generalized_anxiety_disorder
QI_0107,Trastorno de ansiedad generalizada,Ansiedad,GAD_D,D,Malestar clínicamente significativo o deterioro funcional,boolean,"0,1",,,Gate obligatorio,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,107,generalized_anxiety_disorder
QI_0108,Trastorno de ansiedad generalizada,Ansiedad,GAD_E,E,No atribuible a sustancia ni afección médica,boolean,"0,1",,,,,,required,direct,mapping_status=absent; evidence_type=absent,108,generalized_anxiety_disorder
QI_0109,Trastorno de ansiedad generalizada,Ansiedad,GAD_F,F,No se explica mejor por otro trastorno mental,boolean,"0,1",,,,Gate obligatorio,,required,direct,mapping_status=absent; evidence_type=absent,109,generalized_anxiety_disorder
QI_0110,Trastorno de ansiedad generalizada,Ansiedad,GAD_1,C.1,Inquietud o sensación de estar atrapado o con los nervios de punta,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,110,generalized_anxiety_disorder
QI_0111,Trastorno de ansiedad generalizada,Ansiedad,GAD_2,C.2,Facilidad para fatigarse,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,111,generalized_anxiety_disorder
QI_0112,Trastorno de ansiedad generalizada,Ansiedad,GAD_3,C.3,Dificultad para concentrarse o quedarse con la mente en blanco,boolean,"0,1",,,,,,required,proxy,mapping_status=proxy; evidence_type=questionnaire,112,generalized_anxiety_disorder
